SpeciesCode,GuildCode,
PS.OLIV,ZP,134
PA.INSU,BI,98
CH.SORD,He,78
CT.MARG,De,77
CH.ORNA,C,73
MO.GRAN,BI,70
CH.VAND,ZP,63
SC.FREN,He,57
LU.BOHA,AP,54
ME.NIGE,ZP,52
CE.UROD,Pi,50
CH.AURI,BI,48
PT.TILE,ZP,40
AP.FURC,Pi,37
PS.DISP,ZP,31
AC.NIGR,He,27
PA.ARCA,BI,27
CA.TERE,ZP,25
CE.ARGU,AP,24
PL.DICK,Om,24
CE.FLAV,He,21
CE.LORI,He,20
PS.BART,ZP,15
CA.MELA,AP,14
VA.LOUT,AP,12
SC.RUBR,He,10
AC.OLIV,De,7
PS.COOP,ZP,6
AC.TRIOS,,4
CH.MARG,ZP,4
LU.KASM,Pi,4
CT.STRI,De,3
ACA NIGC,,2
AP.VIRE,AP,2
CA.ORTH,AP,2
CH.MEYE,BI,2
PS.FLAV,BI,2
AC.NIGC,HeZP,1
ACAN.SP,He,1
CA.FERD,AP,1
CA.IGNO,AP,1
CH.VAIG,BI,1
CI.OXYC,BI,1
GN.AURE,BI,1
LE.OLIV,AP,1
LU.GIBB,Pi,1
MU.MIMI,BI,1
PA.FORS,Pi,1
PL.JOHN,BI,1
PS.PASC,,1
ST.AURE,He,1
