pk_SpecimenID,RT.OldID,SiteName,SpeciesCode,SciName,Guild,FishLevel,CollNotes,Weight (g),TL,FL,SL,GapeHeight,GapeWidth,log2biomass,PreySizeInStomach,SizeClass,StomachContents,DissNotes
1400,KIF11_033,9,AC.NIGR,Acanthurus nigricans,He,HP.MF,,219.80,210.0,197.0,166.0,8.6,12.0,7.780,,128 - 256 g,empty,sat out on ice for 36 hours before dissection
1532,KIF11_165,40,AC.NIGR,Acanthurus nigricans,He,HP.MF,,224.00,202.0,193.0,159.0,14.6,9.9,7.807,,128 - 256 g,nigracans greenish shit,
1534,KIF11_167,40,AC.NIGR,Acanthurus nigricans,He,HP.MF,,193.70,205.0,192.0,165.0,14.1,10.0,7.598,,128 - 256 g,nigricans green goop plus red algal matter,
1535,KIF11_168,40,AC.NIGR,Acanthurus nigricans,He,HP.MF,,206.30,204.0,190.0,159.0,12.4,9.8,7.689,,128 - 256 g,nigricans green goop plus red algal matter,
1536,KIF11_169,40,AC.NIGR,Acanthurus nigricans,He,HP.MF,,97.60,163.0,152.0,129.0,10.3,9.0,6.609,,64 - 128 g,nigricans green goop,
1612,KIF11_245,40,AC.NIGR,Acanthurus nigricans,He,HP.MF,,227.60,215.0,201.0,172.0,18.2,10.5,7.830,,128 - 256 g,typical shit,
1651,KIF11_284,40,AC.NIGR,Acanthurus nigricans,He,HP.MF,,216.10,195.0,188.0,155.0,12.6,7.2,7.756,,128 - 256 g,nigricans shit,
1652,KIF11_285,40,AC.NIGR,Acanthurus nigricans,He,HP.MF,,101.90,155.0,148.0,125.0,9.8,7.5,6.671,,64 - 128 g,nigricans shit,
1653,KIF11_286,40,AC.NIGR,Acanthurus nigricans,He,HP.MF,,98.20,160.0,150.0,126.0,11.3,8.3,6.618,,64 - 128 g,nigricans shit,
1654,KIF11_287,40,AC.NIGR,Acanthurus nigricans,He,HP.MF,,84.50,159.0,148.0,123.0,10.5,7.2,6.401,,64 - 128 g,nigricans shit,
