pk_SpecimenID,SpeciesCode,GuildCode,SpecimenID,SampleID,Treatment,SiteName,Fishing,gh,gw,TLMM,SLMM,FLMM,wt,SizeClass,Notes,notes,TypeCode
1612,AC.NIGR,He,KIF11_245,KIF11_245_1,Non-Acidified,40,HP.MF,18.2,10.5,215,172,201,227.6,128 - 256 g,,,Fish
1400,AC.NIGR,He,KIF11_033,KIF11_033_1,Non-Acidified,9,HP.MF,8.6,12,210,166,197,219.8,128 - 256 g,sat out on ice for 36 hours before dissection,,Fish
1534,AC.NIGR,He,KIF11_167,KIF11_167_1,Non-Acidified,40,HP.MF,14.1,10,205,165,192,193.7,128 - 256 g,,,Fish
1532,AC.NIGR,He,KIF11_165,KIF11_165_1,Non-Acidified,40,HP.MF,14.6,9.9,202,159,193,224,128 - 256 g,,KIF11_164 was missing,Fish
1535,AC.NIGR,He,KIF11_168,KIF11_168_1,Non-Acidified,40,HP.MF,12.4,9.8,204,159,190,206.3,128 - 256 g,,,Fish
1651,AC.NIGR,He,KIF11_284,KIF11_284_1,Non-Acidified,40,HP.MF,12.6,7.2,195,155,188,216.1,128 - 256 g,,work study student forgot to remove samples from the oven prior to the christmas break; samples left in the oven were denoted with a '*' on the vial,Fish
1651,AC.NIGR,He,KIF11_284,KIF11_284_2,Non-Acidified,40,HP.MF,12.6,7.2,195,155,188,216.1,128 - 256 g,,,Fish
2430,AC.NIGR,He,KIF12_136,KIF12_136_1,Non-Acidified,25,LP.MF,11.4,9.6,179,142.8,,134,128 - 256 g,,,Fish
1656,AC.NIGR,He,KIF11_385,KIF11_385_1,Non-Acidified,40,HP.MF,11,7.7,165,129,154,104.2,64 - 128 g,,,Fish
1536,AC.NIGR,He,KIF11_169,KIF11_169_1,Non-Acidified,40,HP.MF,10.3,9,163,129,152,97.6,64 - 128 g,,,Fish
2303,AC.NIGR,He,KIF12_009,KIF12_009_1,Non-Acidified,30,HP.HF,10.2,7.5,152.9,128.7,,93.2,64 - 128 g,,,Fish
2448,AC.NIGR,He,KIF12_154,KIF12_154_1,Non-Acidified,6,HP.LF,11.8,8,162,127.3,,102,64 - 128 g,one broken otolith,,Fish
1655,AC.NIGR,He,KIF11_288,KIF11_288_1,Non-Acidified,40,HP.MF,12.7,8.6,161,126,152,105.4,64 - 128 g,,,Fish
1653,AC.NIGR,He,KIF11_286,KIF11_286_1,Non-Acidified,40,HP.MF,11.3,8.3,160,126,150,98.2,64 - 128 g,,,Fish
2432,AC.NIGR,He,KIF12_138,KIF12_138_1,Non-Acidified,25,LP.MF,10.4,7.7,156,125.2,,100.5,64 - 128 g,,,Fish
1652,AC.NIGR,He,KIF11_285,KIF11_285_1,Non-Acidified,40,HP.MF,9.8,7.5,155,125,148,101.9,64 - 128 g,,,Fish
2397,AC.NIGR,He,KIF12_103,KIF12_103_1,Non-Acidified,3,LP.MF,9.5,8.8,150.3,123.9,,91,64 - 128 g,,,Fish
2431,AC.NIGR,He,KIF12_137,KIF12_137_1,Non-Acidified,25,LP.MF,12.6,11.5,162.9,123.4,,98.6,64 - 128 g,,,Fish
1654,AC.NIGR,He,KIF11_287,KIF11_287_1,Non-Acidified,40,HP.MF,10.5,7.2,159,123,148,84.5,64 - 128 g,,,Fish
2463,AC.NIGR,He,KIF12_169,KIF12_169_1,Non-Acidified,40,HP.MF,8.2,9,155.8,122.2,,93,64 - 128 g,,,Fish
