SpecimenID,SpeciesCode,Family,FunctionalGroup,SiteName,SizeClass,wt,SL,gh,gw,TL,FL,DissectedBy,CollectionNotes,j_prey_size,PreyType,PreySize,DissectionNotes,
CEPURO004,CE.UROD,Serranidae,Pi,31,32 - 64 g,60,62,,,74,74,rowan,weight recorded as 6; SAMPLE MISSING AT RINSING,22,fish,22,weight recorded as 6; SAMPLE MISSING AT RINSING,
CEPURO005,CE.UROD,Serranidae,Pi,30,32 - 64 g,46,116,,,142,142,drew,NA,21,fish,21,NA,
CEPURO007,CE.UROD,Serranidae,Pi,35,128 - 256 g,139,170,,,203,203,drew,NA,66,fish,66,NA,
EPIMAC001,EP.MACU,,Pi,31,256 - 512 g,351,227,,,268,268,drew,NA,44,fish,44,NA,
CEPURO014,CE.UROD,Serranidae,Pi,30,64 - 128 g,110,153,,,186,186,amy,NA,20,fish,20,NA,
CEPURO017,CE.UROD,Serranidae,Pi,30,32 - 64 g,48,114,,,144,144,amy,NA,17,fish,17,NA,
CEPURO018,CE.UROD,Serranidae,Pi,35,64 - 128 g,101,49,,,180,180,amy,NA,41,fish,41,NA,
CEPURO020,CE.UROD,Serranidae,Pi,35,64 - 128 g,85,142,,,172,172,amy,NA,35,fish,35,NA,
CEPURO029,CE.UROD,Serranidae,Pi,35,64 - 128 g,104,143,,,179,179,amy,NA,42,fish,42,NA,
CEPURO033,CE.UROD,Serranidae,Pi,25,32 - 64 g,51,119,,,147,147,amy,NA,11,fish,11,NA,
MONGRA001,MO.GRAN,Lethrinidae,BI,8,256 - 512 g,433,214,,,287,253,amy.laura,KIF11_586,4,fish,NA,KIF11_586,
MONGRA003,MO.GRAN,Lethrinidae,BI,8,256 - 512 g,278,189,,,245,215,amy.laura,scales 0.9cm diameter,,,NA,scales 0.9cm diameter,
CEPURO048,CE.UROD,Serranidae,Pi,25,64 - 128 g,105,131,,,171,171,amy.laura,NA,37,fish,37,NA,
CEPURO049,CE.UROD,Serranidae,Pi,25,64 - 128 g,119,155,,,190,190,amy.laura,NA,2,fish,2,NA,
CEPURO051,CE.UROD,Serranidae,Pi,25,64 - 128 g,88,138,,,171,171,amy.laura,NA,36,fish,36,NA,
CEPURO056,CE.UROD,Serranidae,Pi,25,64 - 128 g,114,151,,,187,187,amy.laura,also 4mm crab carapace,26,fish,26,also 4mm crab carapace,
