,Species,Gape type,Family,FG,int,slope,rsq,se,p_val,lw_conf_slp,up_conf_slp,lw_conf_int,up_conf_int,
8,PA.ARCA,gh,Cirrhitidae,BI,-0.048,0.619,0.043,0.779,0.44,-1.051,2.289,-7.361,7.264,ns +
8,PA.ARCA,gw,Cirrhitidae,BI,-2.573,1.162,0.121,0.838,0.187,-0.636,2.959,-10.443,5.297,ns I
8,PA.ARCA,ga,Cirrhitidae,BI,-2.863,1.781,0.089,1.522,0.261,-1.483,5.045,-17.153,11.427,ns I
9,MO.GRAN,gh,Lethrinidae,BI,-2.084,1.068,0.635,0.098,0,0.872,1.263,-3.118,-1.051,I
9,MO.GRAN,gw,Lethrinidae,BI,-0.767,0.789,0.483,0.099,0,0.592,0.987,-1.81,0.277,-
9,MO.GRAN,ga,Lethrinidae,BI,-3.093,1.857,0.617,0.177,0,1.503,2.211,-4.963,-1.223,I
10,PA.INSU,gh,Mullidae,BI,-1.747,0.955,0.754,0.057,0,0.841,1.069,-2.335,-1.158,I
10,PA.INSU,gw,Mullidae,BI,-2.084,1.042,0.775,0.059,0,0.925,1.159,-2.689,-1.478,I
10,PA.INSU,ga,Mullidae,BI,-4.072,1.997,0.782,0.111,0,1.777,2.216,-5.209,-2.934,I
23,CH.ORNA,gh,Chaetodontidae,C,-1.047,0.749,0.276,0.157,0,0.436,1.063,-2.564,0.471,I
23,CH.ORNA,gw,Chaetodontidae,C,-1.236,0.771,0.244,0.175,0,0.421,1.122,-2.934,0.462,I
23,CH.ORNA,ga,Chaetodontidae,C,-2.524,1.521,0.297,0.302,0,0.916,2.125,-5.452,0.404,I
11,AC.NIGR,gh,Acanthuridae,He,-1.872,0.871,0.529,0.168,0,0.525,1.218,-3.555,-0.188,I
11,AC.NIGR,gw,Acanthuridae,He,-0.57,0.553,0.31,0.168,0.003,0.206,0.901,-2.26,1.121,-
11,AC.NIGR,ga,Acanthuridae,He,-2.683,1.425,0.585,0.245,0,0.919,1.93,-5.142,-0.223,I
12,AC.OLIV,gh,Acanthuridae,He,-1.906,0.886,0.469,0.421,0.09,-0.198,1.969,-7.542,3.73,I
12,AC.OLIV,gw,Acanthuridae,He,-5.261,1.486,0.741,0.393,0.013,0.476,2.495,-10.512,-0.009,I
12,AC.OLIV,ga,Acanthuridae,He,-7.408,2.371,0.721,0.659,0.016,0.676,4.066,-16.224,1.407,I
13,CE.FLAV,gh,Pomacanthidae,He,-1.976,0.859,0.425,0.407,0.08,-0.138,1.855,-6.115,2.163,I
13,CE.FLAV,gw,Pomacanthidae,He,-5.064,1.549,0.702,0.412,0.009,0.54,2.558,-9.252,-0.875,I
