pk_SpecimenID,SpeciesCode,GuildCode,j_fg,SpecimenID,SampleID,Treatment,SiteName,Fishing,gh,gw,TLMM,SLMM,FLMM,wt,SizeClass,Notes,notes,TypeCode,Order,Family,ga,gh_ratio,gw_ratio,ga_ratio
2541,CH.ORNA,C,C,KIF12_247,KIF12_247_1,Non-Acidified,15,LP.LF,17.5,14.3,167,141,NA,173.1,128 - 256 g,,,Fish,Perciformes,Chaetodontidae,196.5458904,0.124113475,0.10141844,1.393942485
2352,CH.ORNA,C,C,KIF12_058,KIF12_058_1,Non-Acidified,25,LP.MF,17,13.4,162,135.8,NA,129.1,128 - 256 g,,,Fish,Perciformes,Chaetodontidae,178.9137016,0.125184094,0.098674521,1.317479393
2375,CH.ORNA,C,C,KIF12_081,KIF12_081_1,Non-Acidified,2,LP.MF,17,17.4,168,140,NA,150,128 - 256 g,,,Fish,Perciformes,Chaetodontidae,232.3207767,0.121428571,0.124285714,1.65943412
2641,CH.ORNA,C,C,KIF12_347,KIF12_347_1,Non-Acidified,8,HP.LF,16.7,12.9,159.5,136.3,NA,137.8,128 - 256 g,,,Fish,Perciformes,Chaetodontidae,169.1983263,0.122523844,0.094644167,1.241367031
2374,CH.ORNA,C,C,KIF12_080,KIF12_080_1,Non-Acidified,2,LP.MF,16.6,16.7,181,147.2,NA,159,128 - 256 g,,,Fish,Perciformes,Chaetodontidae,217.7280789,0.112771739,0.113451087,1.47913097
2803,CH.ORNA,C,C,KIF12_377,KIF12_377_1,Non-Acidified,8,HP.LF,16.6,14.3,160.5,134.3,NA,12.56,8 - 16 g,,,Fish,Perciformes,Chaetodontidae,186.437816,0.123603872,0.106478034,1.388219032
2357,CH.ORNA,C,C,KIF12_063,KIF12_063_1,Non-Acidified,25,LP.MF,16.3,13.5,167,135,NA,138,128 - 256 g,,,Fish,Perciformes,Chaetodontidae,172.8268659,0.120740741,0.1,1.280199006
2642,CH.ORNA,C,C,KIF12_348,KIF12_348_1,Non-Acidified,25,LP.MF,16.2,17.1,161,131.3,NA,138,128 - 256 g,,,Fish,Perciformes,Chaetodontidae,217.5709992,0.123381569,0.130236101,1.657052546
2371,CH.ORNA,C,C,KIF12_077,KIF12_077_1,Non-Acidified,8,HP.LF,16.1,12.2,173,142.2,NA,157.2,128 - 256 g,,,Fish,Perciformes,Chaetodontidae,154.2679073,0.113220816,0.085794655,1.084865733
2350,CH.ORNA,C,C,KIF12_056,KIF12_056_1,Non-Acidified,25,LP.MF,15.6,13,165,136,NA,132.5,128 - 256 g,,,Fish,Perciformes,Chaetodontidae,159.2787475,0.114705882,0.095588235,1.171167261
2367,CH.ORNA,C,C,KIF12_073,KIF12_073_1,Non-Acidified,8,HP.LF,15.6,12.4,164,132.1,NA,136.1,128 - 256 g,,,Fish,Perciformes,Chaetodontidae,151.9274207,0.118092354,0.093868282,1.150094025
2351,CH.ORNA,C,C,KIF12_057,KIF12_057_1,Non-Acidified,25,LP.MF,15.4,17,166,141,NA,157,128 - 256 g,,,Fish,Perciformes,Chaetodontidae,205.6172392,0.109219858,0.120567376,1.458278292
2457,CH.ORNA,C,C,KIF12_163,KIF12_163_1,Non-Acidified,40,HP.MF,15.3,13,150.1,125.3,NA,102,64 - 128 g,,,Fish,Perciformes,Chaetodontidae,156.2156947,0.122106943,0.103750998,1.246733397
2358,CH.ORNA,C,C,KIF12_064,KIF12_064_1,Non-Acidified,25,LP.MF,15.2,15.7,169,141,NA,146.5,128 - 256 g,,,Fish,Perciformes,Chaetodontidae,187.4274177,0.107801418,0.111347518,1.329272466
2314,CH.ORNA,C,C,KIF12_020,KIF12_020_1,Non-Acidified,30,HP.HF,15.1,12.4,162,133,NA,131,128 - 256 g,,,Fish,Perciformes,Chaetodontidae,147.0579521,0.113533835,0.093233083,1.105698888
2332,CH.ORNA,C,C,KIF12_038,KIF12_038_1,Non-Acidified,9,HP.MF,15.1,12.5,165,134.8,NA,142.3,128 - 256 g,,,Fish,Perciformes,Chaetodontidae,148.2439033,0.112017804,0.09272997,1.099732221
2368,CH.ORNA,C,C,KIF12_074,KIF12_074_1,Non-Acidified,8,HP.LF,15.1,14.8,163,136,NA,141.5,128 - 256 g,,,Fish,Perciformes,Chaetodontidae,175.5207816,0.111029412,0.108823529,1.290593982
2353,CH.ORNA,C,C,KIF12_059,KIF12_059_1,Non-Acidified,25,LP.MF,15,17.2,171,139,NA,150,128 - 256 g,,,Fish,Perciformes,Chaetodontidae,202.6327262,0.107913669,0.123741007,1.457789397
2366,CH.ORNA,C,C,KIF12_072,KIF12_072_1,Non-Acidified,8,HP.LF,15,15,159,132.5,NA,127.7,64 - 128 g,,,Fish,Perciformes,Chaetodontidae,176.7145868,0.113207547,0.113207547,1.333694994
2392,CH.ORNA,C,C,KIF12_098,KIF12_098_1,Non-Acidified,40,HP.MF,15,14.4,147.7,124,NA,108,64 - 128 g,,,Fish,Perciformes,Chaetodontidae,169.6460033,0.120967742,0.116129032,1.36811293
2390,CH.ORNA,C,C,KIF12_096,KIF12_096_1,Non-Acidified,40,HP.MF,14.9,11.9,155.7,130.5,NA,115.8,64 - 128 g,,,Fish,Perciformes,Chaetodontidae,139.2589484,0.114176245,0.091187739,1.067118378
2638,CH.ORNA,C,C,KIF12_344,KIF12_344_1,Non-Acidified,8,HP.LF,14.8,12.2,151.7,125.8,NA,117,64 - 128 g,,,Fish,Perciformes,Chaetodontidae,141.8114924,0.117647059,0.096979332,1.127277364
2347,CH.ORNA,C,C,KIF12_053,KIF12_053_1,Non-Acidified,25,LP.MF,14.6,12.6,162,134.2,NA,133,128 - 256 g,,,Fish,Perciformes,Chaetodontidae,144.4818461,0.108792846,0.093889717,1.076615843
2355,CH.ORNA,C,C,KIF12_061,KIF12_061_1,Non-Acidified,25,LP.MF,14.2,11,171,138.2,NA,141.5,128 - 256 g,Weight may be light as it was done after samples taken out,,Fish,Perciformes,Chaetodontidae,122.6791931,0.102749638,0.07959479,0.887693148
2556,CH.ORNA,C,C,KIF12_262,KIF12_262_1,Non-Acidified,15,LP.LF,14.2,11.9,146.1,117.8,NA,106.7,64 - 128 g,,,Fish,Perciformes,Chaetodontidae,132.7165817,0.120543294,0.101018676,1.12662633
