,variable,gape,int,slope,rsq,se,p_val,lw_conf_slp,up_conf_slp,lw_conf_int,up_conf_int,Allometry
2,BI,gh,-1.600220683,0.950019071,0.697680187,0.04700573,7.51E-48,0.857255275,1.042782867,-2.07818854,-1.122252826,I
7,BI,gw,-1.820833995,0.990137667,0.771500096,0.040502699,1.24E-58,0.910207323,1.07006801,-2.232677157,-1.408990834,I
12,BI,ga,-3.662619154,1.940156738,0.776916763,0.078144138,1.48E-59,1.785942626,2.09437085,-4.457211352,-2.868026955,I
4,C,gh,-1.046556494,0.749449864,0.276206187,0.156623777,1.15E-05,0.436155665,1.062744063,-2.564145308,0.47103232,I
9,C,gw,-1.236128253,0.771409305,0.24415224,0.175224995,4.47E-05,0.420907129,1.121911481,-2.933951522,0.461695015,I
14,C,ga,-2.524249222,1.520859169,0.296875606,0.302163639,4.68E-06,0.916441901,2.125276437,-5.45203048,0.403532035,I
5,He,gh,-3.830347047,1.319575981,0.863824131,0.039380859,1.50E-78,1.241859542,1.39729242,-4.24083091,-3.419863184,+
10,He,gw,-3.356935575,1.160215625,0.859656245,0.035235968,2.17E-77,1.09067895,1.229752301,-3.72421544,-2.98965571,+
15,He,ga,-7.428847098,2.479791606,0.882770849,0.067923862,2.59E-84,2.345746771,2.613836441,-8.136847133,-6.720847063,+
1,Pi,gh,-0.553368831,0.81651271,0.753724314,0.034596468,2.83E-57,0.74825097,0.88477445,-0.918274826,-0.188462837,-
6,Pi,gw,-1.242346651,0.95028192,0.740974206,0.041647289,2.82E-55,0.868108318,1.032455523,-1.681621128,-0.803072174,I
11,Pi,ga,-2.037279957,1.766794631,0.762273786,0.073136373,1.13E-58,1.622490417,1.911098845,-2.808685327,-1.265874588,-
3,ZP,gh,-1.873213901,0.948057296,0.831957898,0.02493455,4.16E-115,0.898983074,0.997131518,-2.072897844,-1.673529957,-
8,ZP,gw,-2.686539602,1.087109764,0.806357306,0.031175883,4.14E-106,1.02575184,1.148467687,-2.93620616,-2.436873044,+
13,ZP,ga,-4.801317978,2.03516706,0.831037359,0.053702402,9.25E-115,1.929474213,2.140859906,-5.231384183,-4.371251772,I
