"","variable","int","slope","rsq","se","p_val","lw_conf_slp","up_conf_slp","lw_conf_int","up_conf_int"
"1","Pi",-0.553368831431864,0.816512710272368,0.753724313928325,0.0345964678784994,2.82679039366417e-57,0.748250970369238,0.884774450175498,-0.918274825834767,-0.18846283702896
"2","BI",-1.60022068281709,0.950019071247295,0.697680187428462,0.0470057298442051,7.51210503368257e-48,0.857255275170076,1.04278286732451,-2.07818853956936,-1.12225282606483
"3","ZP",-1.87321390061707,0.948057296346311,0.831957897967122,0.0249345501538388,4.16458443318625e-115,0.898983074414386,0.997131518278236,-2.07289784439466,-1.67352995683948
"4","C",-1.0465564937056,0.749449864009476,0.276206186976879,0.156623776677356,1.15373739146624e-05,0.436155664646112,1.06274406337284,-2.56414530771374,0.471032320302544
"5","He",-3.83034704735363,1.31957598077485,0.8638241305951,0.0393808586463444,1.50179125452888e-78,1.24185954167428,1.39729241987543,-4.24083091046599,-3.41986318424128
"6","Pi",-1.24234665069774,0.950281920405025,0.740974205878596,0.0416472888109817,2.81708051733832e-55,0.868108317987867,1.03245552282218,-1.68162112782438,-0.803072173571111
"7","BI",-1.82083399541352,0.99013766661163,0.771500095813019,0.0405026993241841,1.24270865322243e-58,0.91020732294633,1.07006801027693,-2.232677156935,-1.40899083389205
"8","ZP",-2.68653960187648,1.08710976350995,0.806357306156554,0.0311758831978569,4.14402062431604e-106,1.02575184040582,1.14846768661409,-2.93620615969642,-2.43687304405654
"9","C",-1.23612825337951,0.77140930489082,0.244152240121865,0.175224995051481,4.47420322533398e-05,0.420907128926883,1.12191148085476,-2.93395152176201,0.461695015002989
"10","He",-3.3569355751779,1.16021562539199,0.859656244701221,0.0352359684403261,2.16955740177302e-77,1.0906789497183,1.22975230106569,-3.72421544014429,-2.9896557102115
"11","Pi",-2.0372799574001,1.76679463067739,0.762273785793467,0.0731363734365386,1.12858179264166e-58,1.62249041677567,1.91109884457912,-2.80868532657271,-1.26587458822749
"12","BI",-3.66261915350111,1.94015673785892,0.776916763466136,0.0781441380872859,1.48177663876193e-59,1.78594262578823,2.09437084992962,-4.45721135158264,-2.86802695541958
"13","ZP",-4.80131797776402,2.03516705985626,0.831037359493537,0.053702401721317,9.25139350127745e-115,1.92947421342071,2.14085990629181,-5.23138418308475,-4.37125177244329
"14","C",-2.5242492223556,1.5208591689003,0.296875605775616,0.302163638514333,4.68220581503847e-06,0.916441900888171,2.12527643691242,-5.45203047969294,0.403532034981734
"15","He",-7.42884709780204,2.47979160616685,0.882770848666061,0.0679238620571837,2.59266782724748e-84,2.34574677143004,2.61383644090366,-8.13684713267004,-6.72084706293405
