,pGH,bGH,zGH,hGH,cGH
elev,-0.305,-1.098,-1.065,-2.038,-2.592
slp_test,1,1,1,1,1
slope,0.85,1.13,1.096,1.483,1.764
upper_limit,0.787,1.025,1.031,1.393,1.362
lower_limit,0.919,1.246,1.165,1.578,2.285
slp_p_value,0,0.014,0.003,0,0
xy_r^2,0.754,0.698,0.832,0.864,0.276
xy_corr_p_value,0,0,0,0,0
n,184,179,294,179,62
from,27.039,44.117,17.275,52.394,96.974
to,573.803,341.846,221.577,383.324,146.091
,,,,,
,pGW,bGW,zGW,hGW,cGW
elev,-0.415,-0.869,-1.434,-1.797,-2.849
slp_test,1,1,1,1,1
slope,0.905,1.027,1.245,1.308,1.867
upper_limit,0.833,0.945,1.167,1.23,1.377
lower_limit,0.983,1.117,1.329,1.391,2.532
slp_p_value,0.018,0.525,0,0,0
xy_r^2,0.741,0.772,0.806,0.86,0.244
xy_corr_p_value,0,0,0,0,0
n,184,179,294,179,62
from,23.56,44.338,16.921,46.867,94.451
to,571.275,302.833,236.357,383.355,149.418
,,,,,
,pGA,bGA,zGA,hGA,cGA
elev,-0.78149435,-1.833367228,-2.577668176,-3.912384969,-5.158261756
slp_test,2,2,2,2,2
slope,1.736082113,2.052193626,2.326498775,2.778238593,3.44799369
upper_limit,1.602964538,1.891712422,2.184954046,2.621256232,2.612037617
lower_limit,1.880254385,2.226289064,2.477212991,2.944622348,4.551489002
slp_p_value,0.00056869,0.533595556,3.10E-06,0,0.000140415
xy_r^2,0.762273786,0.776916763,0.831037359,0.882770849,0.296875606
xy_corr_p_value,0,0,0,0,4.68E-06
n,184,179,294,179,62
from,24.86036974,42.32254001,17.0080842,49.59522333,96.71455872
to,574.9238846,327.8643822,230.2366189,384.0436148,148.2478507
