Genus,Species,BodyShapeI,Length,LTypeMaxM,LengthFemale,LTypeMaxF,MaxLengthRef,CommonLength,LTypeComM
Caranx,melampygus,fusiform / normal,117.0,FL,NA,NA,40637,60.0,TL
Carangoides,orthogrammus,fusiform / normal,75.0,TL,NA,NA,48635,40.0,FL
Aphareus,furca,fusiform / normal,70.0,TL,NA,NA,5484,25.0,SL
Aprion,virescens,fusiform / normal,112.0,TL,NA,NA,7196,90.0,TL
Lutjanus,bohar,fusiform / normal,90.0,TL,NA,NA,9987,76.0,SL
Lutjanus,kasmira,fusiform / normal,40.0,TL,NA,NA,4883,25.0,TL
Cephalopholis,argus,fusiform / normal,60.0,TL,NA,NA,11441,40.0,TL
Cephalopholis,urodeta,fusiform / normal,28.0,TL,NA,NA,5222,NA,NA
Epinephelus,hexagonatus,fusiform / normal,27.5,TL,NA,NA,48600,NA,NA
Epinephelus,maculatus,fusiform / normal,60.5,TL,NA,NA,5525,NA,NA
Epinephelus,spilotoceps,fusiform / normal,35.0,TL,NA,NA,30874,NA,NA
Epinephelus,tauvina,fusiform / normal,100.0,TL,NA,NA,89972,90.0,TL
Variola,louti,fusiform / normal,83.0,TL,NA,NA,40637,75.0,TL
Paracirrhites,arcatus,fusiform / normal,20.0,TL,NA,NA,48636,NA,NA
Monotaxis,grandoculis,fusiform / normal,60.0,TL,NA,NA,2295,40.0,TL
Parupeneus,insularis,fusiform / normal,30.0,TL,NA,NA,13550,NA,NA
Caesio,teres,fusiform / normal,40.0,TL,NA,NA,11228,26.6,SL
Pterocaesio,tile,fusiform / normal,30.0,TL,NA,NA,402,21.2,SL
Chromis,vanderbilti,fusiform / normal,6.0,TL,NA,NA,89972,NA,NA
Pseudanthias,bartlettorum,fusiform / normal,9.0,TL,NA,NA,9710,NA,NA
Pseudanthias,dispar,fusiform / normal,9.5,TL,NA,NA,2334,NA,NA
Pseudanthias,olivaceus,fusiform / normal,12.0,TL,NA,NA,89972,NA,NA
Acanthurus,nigricans,short and / or deep,21.3,TL,NA,NA,2334,NA,NA
Acanthurus,olivaceus,short and / or deep,35.0,TL,NA,NA,2334,NA,NA
Centropyge,flavissima,short and / or deep,14.0,TL,NA,NA,9710,NA,NA
Scarus,frenatus,fusiform / normal,47.0,TL,NA,NA,2334,NA,NA
Scarus,rubroviolaceus,fusiform / normal,70.0,TL,NA,NA,2334,NA,NA
Chaetodon,ornatissimus,short and / or deep,20.0,TL,NA,NA,9710,NA,NA
