SpecimenID,Family,Order,Genus,Species,SpeciesCode,j_fg,Site,Region,TL,SL,FL,wt,length.cm.,a..cm.,b..cm.,calc_wt,gh,gw,dissected_by,stomach_contents,prey_size,coll_notes,dis_notes,ga,gh_ratio,gw_ratio,ga_ratio,observer_id
KIF11_050,Carangidae,Perciformes,Caranx,melampygus,CA.MELA,Pi,27,HP.HF,272,223,236,263.3,NA,NA,NA,NA,27.6,31,SC,rotten fish (digested) TL minimum of = 19.3mm,,,,671.9866686,0.123766816,0.139013453,0.013512974,19
KIF12_106,Carangidae,Perciformes,Caranx,melampygus,CA.MELA,Pi,3,LP.MF,596,510,540,2833.1,NA,NA,NA,NA,49.6,70,RT,fish remains; scales - biggest fish 130mm TL,130 mm TL,,,2726.902423,0.097254902,0.137254902,0.010484054,14
KIF12_197,Carangidae,Perciformes,Caranx,melampygus,CA.MELA,Pi,19,LP.LF,530,445,485,1980,NA,NA,NA,NA,55.8,65.5,SC,crustacean larvae,,,,2870.551747,0.125393258,0.147191011,0.014495906,19
KIF12_232,Carangidae,Perciformes,Caranx,melampygus,CA.MELA,Pi,8,HP.LF,550,460,486,1816,NA,NA,NA,NA,54,74.3,SC,fish scales,,,. Original recorded weight: 4lbs,3151.174511,0.117391304,0.161521739,0.014892129,19
KIF12_233,Carangidae,Perciformes,Caranx,melampygus,CA.MELA,Pi,6,HP.LF,580,500,524,2678.6,NA,NA,NA,NA,60.2,82.2,SC,pearl & digested fish matter,,,. Original recorded weight: 5.9lbs,3886.495688,0.1204,0.1644,0.015545983,19
KIF12_248,Carangidae,Perciformes,Caranx,melampygus,CA.MELA,Pi,15,LP.LF,573,498,521,2043,NA,NA,NA,NA,57,64.8,RT,otoliths & fish scales in gut,,,. Original recorded weight: 4.5lbs,2900.946656,0.114457831,0.130120482,0.011697177,14
KIF12_249,Carangidae,Perciformes,Caranx,melampygus,CA.MELA,Pi,15,LP.LF,510,415,445,1362,NA,NA,NA,NA,52,57.3,SC,empty gut,,,. Original recorded weight: 3lbs,2340.172368,0.125301205,0.138072289,0.013587878,19
KIF12_252,Carangidae,Perciformes,Caranx,melampygus,CA.MELA,Pi,15,LP.LF,211,179,186,126.6,NA,NA,NA,NA,21.4,25,RT,digesting crustacean, crab larvae: 25mm,,,420.1880174,0.119553073,0.139664804,0.013114073,14
KIF12_286,Carangidae,Perciformes,Caranx,melampygus,CA.MELA,Pi,24,LP.MF,368,306,324,620,NA,NA,NA,NA,44.6,47,AB,green goop,,,,1646.35163,0.145751634,0.153594771,0.017582464,2
KIF12_311,Carangidae,Perciformes,Caranx,melampygus,CA.MELA,Pi,15,LP.LF,586,496,516,2133.8,NA,NA,NA,NA,65,69.2,LW,empty stomach,,other otolith smashed,other otolith smashed. Original recorded weight: 4.7lbs,3532.720939,0.131048387,0.139516129,0.01435972,12
KIF12_312,Carangidae,Perciformes,Caranx,melampygus,CA.MELA,Pi,15,LP.LF,720,595,635,3722.8,NA,NA,NA,NA,70,82.6,RT,empty stomach except for 2 fish eye lenses,,,. Original recorded weight: 8.2lbs,4541.172181,0.117647059,0.138823529,0.012827264,14
KIF12_333,Carangidae,Perciformes,Caranx,melampygus,CA.MELA,Pi,8,HP.LF,580,476,504,2156.5,NA,NA,NA,NA,60,75,SC,little sordidus (143mm), unID'd fish (185mm) - sample only taken from unID'd fish,,. Original recorded weight: 4.75lbs,3534.291735,0.12605042,0.157563025,0.015598703,19
KIF11_311,Caesionidae,Perciformes,Pterocaesio,tile,PT.TILE,ZP,24,LP.MF,145.3,119.4,128,31.1,NA,NA,NA,NA,12.3,7.2,,small crustaceans <1mm,,KP,KP,69.55486135,0.103015075,0.060301508,0.004878865,1
KIF11_312,Caesionidae,Perciformes,Pterocaesio,tile,PT.TILE,ZP,24,LP.MF,114.6,95.6,102,14.2,NA,NA,NA,NA,9.1,7,KP/AO,small crustaceans <1mm,,head speared,head speared,50.02986301,0.095188285,0.073221757,0.00547411,11
KIF11_313,Caesionidae,Perciformes,Pterocaesio,tile,PT.TILE,ZP,24,LP.MF,125.4,103.2,110.3,19.2,NA,NA,NA,NA,9.2,7,KP/AO,small crustaceans <1mm,,,,50.57964172,0.089147287,0.067829457,0.004749155,11
KIF11_314,Caesionidae,Perciformes,Pterocaesio,tile,PT.TILE,ZP,24,LP.MF,146.4,123.1,130.1,37.1,NA,NA,NA,NA,10.5,8.4,KP/AO,small crustaceans <1mm,,1 otolish broken,1 otolish broken,69.27211801,0.085296507,0.068237206,0.004571328,11
KIF11_315,Caesionidae,Perciformes,Pterocaesio,tile,PT.TILE,ZP,24,LP.MF,142.9,115.7,125,30.2,NA,NA,NA,NA,9.8,7.7,KP/AO,small crustaceans <1mm,,,,59.26614541,0.084701815,0.066551426,0.00442731,11
KIF11_316,Caesionidae,Perciformes,Pterocaesio,tile,PT.TILE,ZP,24,LP.MF,109.2,91.6,97.9,11.9,NA,NA,NA,NA,7.8,5.9,KP/AO,small crustaceans <1mm,,,,36.14402348,0.085152838,0.06441048,0.004307701,11
KIF11_317,Caesionidae,Perciformes,Pterocaesio,tile,PT.TILE,ZP,24,LP.MF,137.6,114,122.7,28.3,NA,NA,NA,NA,8.3,6.4,KP/AO,small crustaceans <1mm,,,,41.72035044,0.072807018,0.056140351,0.003210245,11
KIF11_318,Caesionidae,Perciformes,Pterocaesio,tile,PT.TILE,ZP,24,LP.MF,130.9,107.2,115,22,NA,NA,NA,NA,9.8,8.2,KP/AO,small crustaceans <1mm,,,,63.11459641,0.09141791,0.076492537,0.005492123,11
KIF11_320,Caesionidae,Perciformes,Pterocaesio,tile,PT.TILE,ZP,32,HP.HF,103.2,85.5,91.3,9,NA,NA,NA,NA,7.2,5,KP,empty,,,,28.27433388,0.084210526,0.058479532,0.003867766,10
KIF11_321,Caesionidae,Perciformes,Pterocaesio,tile,PT.TILE,ZP,32,HP.HF,103.8,84.9,91.9,10.2,NA,NA,NA,NA,8.6,5.6,KP,empty,,,,37.82477555,0.101295642,0.065959953,0.005247603,10
KIF11_322,Caesionidae,Perciformes,Pterocaesio,tile,PT.TILE,ZP,32,HP.HF,92.3,72.1,81.2,6.6,NA,NA,NA,NA,10,6.3,KP,empty,,,,49.48008429,0.138696255,0.087378641,0.009518311,10
KIF11_323,Caesionidae,Perciformes,Pterocaesio,tile,PT.TILE,ZP,32,HP.HF,97.3,82.5,85.6,9.2,NA,NA,NA,NA,10.6,5.6,KP,empty,,,,46.62123498,0.128484848,0.067878788,0.006849768,10
KIF11_325,Caesionidae,Perciformes,Pterocaesio,tile,PT.TILE,ZP,32,HP.HF,92.9,73.8,81,6.6,NA,NA,NA,NA,13,5.6,KP,empty,,,,57.1769863,0.176151762,0.075880759,0.010498048,10
KIF11_326,Caesionidae,Perciformes,Pterocaesio,tile,PT.TILE,ZP,32,HP.HF,80.4,68.2,75.5,4.9,NA,NA,NA,NA,9.1,5.5,KP,empty,,tail broken off,tail broken off,39.30917808,0.133431085,0.080645161,0.008451333,10
KIF11_327,Caesionidae,Perciformes,Pterocaesio,tile,PT.TILE,ZP,32,HP.HF,98.3,78.1,84.8,8.3,NA,NA,NA,NA,10,6.2,KP,empty,,,,48.69468613,0.128040973,0.079385403,0.007983246,10
