"","group","n","r2","pval","Slope","Slope_lowCI","Slope_highCI","Int","Int_lowCI","Int_highCI","Slope_test","Slope_test_p","Elev_test","Elev_test_p"
"1","CA.MELA",12,0.995683178259589,3.69482222595252e-13,0.343699045202744,0.317663341471261,0.371868636545098,0.612083181883693,0.522481714372991,0.701684649394395,3,0,NA,NA
"2","AP.FURC",36,0.758428721230587,5.02398123103376e-12,0.346893342264932,0.30146741329393,0.399164173642903,0.867822611144896,0.745362155944381,0.990283066345411,3,0,NA,NA
"3","LU.BOHA",45,0.905067788836891,0,0.281182465858861,0.264247881663995,0.299202319460796,0.964000372501114,0.916161667304067,1.01183907769816,3,0,NA,NA
"4","CE.ARGU",23,0.267550140075683,0.0114841833779029,0.254029243867968,0.175809452401228,0.367049984279918,1.13267809285607,0.888965061919465,1.37639112379268,3,0,NA,NA
"5","CE.UROD",39,0.698024894122254,3.6960656757401e-11,0.314541977511344,0.248344715438778,0.398384380525048,0.952258435341358,0.805375863463157,1.09914100721956,3,0,NA,NA
"6","VA.LOUT",12,0.845141803599234,2.34895333570684e-05,0.341841637971587,0.255454312858326,0.457442679841953,0.84405780069738,0.534851722235063,1.1532638791597,3,1.70574665503409e-11,NA,NA
"7","PA.ARCA",24,0.49052487503147,0.000138547797271071,0.251059657339139,0.202497375342456,0.311267992667314,0.941997740000404,0.883525980197319,1.00046949980349,3,0,NA,NA
"8","MO.GRAN",66,0.763222496302092,0,0.520719508876917,0.444970583476539,0.609363443323695,0.26844993947413,0.0620266670796701,0.474873211868589,3,0,NA,NA
"9","PA.INSU",86,0.649224217083767,0,0.28438422107298,0.244298951493548,0.331046796152219,0.791970762762101,0.69610991833665,0.887831607187551,3,0,NA,NA
"10","CA.TERE",23,0.730324693672024,2.09412104545947e-07,0.28560087529017,0.22880193886186,0.356499863472566,0.692810953062698,0.546995379628181,0.838626526497215,3,0,NA,NA
"11","PT.TILE",34,0.844026409365725,1.86517468137026e-14,0.299829038598207,0.266053729967358,0.33789209569719,0.643225444954093,0.58903479486901,0.697416095039177,3,0,NA,NA
"12","CH.VAND",63,0.554677889670128,2.59814392222779e-12,0.390415027886893,0.319911800707511,0.476455990878815,0.432410023869908,0.41484007603166,0.449979971708155,3,0,NA,NA
"13","PS.BART",8,0.392970765254799,0.0962383560906435,0.500537098214439,0.243176252908432,1.03027077558955,0.492964215631881,0.278213474950547,0.707714956313216,3,0.000100974650960595,NA,NA
"14","PS.DISP",10,0.483185683169242,0.0256523666408022,0.182629540148035,0.0941100373462196,0.354410112621451,0.809263643892773,0.728094166076006,0.89043312170954,3,4.44960046586118e-09,NA,NA
"15","PS.OLIV",85,0.606495551152218,0,0.33728699012641,0.286212687105757,0.397475439886762,0.691821916161968,0.652288073496299,0.731355758827636,3,0,NA,NA
"16","AC.NIGR",25,0.452822745057942,0.000227937006641588,0.491597495475856,0.354094901598898,0.682495275890429,0.0538575547918111,-0.268086997924202,0.375802107507824,3,2.99760216648792e-15,NA,NA
"17","AC.OLIV",7,0.169184186593886,0.359259417170694,0.295097151609612,0.136035436514553,0.64014444411909,0.494553075153373,-0.0758145210907116,1.06492067139746,3,2.27097697453882e-05,NA,NA
"18","CE.FLAV",34,0.101057492456337,0.0669285997580584,0.311370813392608,0.206823134379179,0.468766628664605,0.410344329264956,0.265208865416734,0.555479793113178,3,0,NA,NA
"19","CH.SORD",71,0.848985904303856,0,0.385979275836583,0.341898750368835,0.43574304151336,0.471508254090489,0.354458891107889,0.588557617073088,3,0,NA,NA
"20","SC.FREN",50,0.379076745513087,1.94693211663655e-06,0.556962654421594,0.411356526552799,0.754108366822113,-0.0274261673680953,-0.506079240204148,0.451226905467957,3,0,NA,NA
"21","SC.RUBR",10,0.936426566651508,4.5847390208742e-06,0.847663784343112,0.523840144919299,1.37166633419739,-1.02046281998156,-2.37189503936966,0.330969399406543,3,6.87380528598958e-05,NA,NA
"22","CH.ORNA",73,0.174320157958701,0.000237800078471739,1.11907888618149,0.85414342790801,1.4661911718556,-1.213577007247,-1.85565627836328,-0.571497736130725,3,2.86037860064425e-12,NA,NA
"23","CA.MELA",12,0.949856336396376,7.97000341279386e-08,0.294492023271006,0.19653719791943,0.441267875437013,0.790744688219265,0.392419126948889,1.18907024948964,3,1.10250475415796e-10,NA,NA
"24","AP.FURC",36,0.644796321106034,3.80181575110328e-09,0.352070138143061,0.293358961888996,0.422531431710535,0.838556910919801,0.678659004874638,0.998454816964965,3,0,NA,NA
"25","LU.BOHA",45,0.899205935763757,0,0.309021581271838,0.275791635623167,0.346255380356161,0.896393672674413,0.811546549613689,0.981240795735138,3,0,NA,NA
"26","CE.ARGU",23,0.618658341561187,8.56513432223593e-06,0.384079499951902,0.263704484746336,0.559402933269047,0.792380978361517,0.401043471667803,1.18371848505523,3,1.77635683940025e-15,NA,NA
"27","CE.UROD",39,0.840554038517139,2.22044604925031e-16,0.261987700143128,0.232262116699197,0.295517650496478,1.05269833968404,0.995087158303875,1.11030952106421,3,0,NA,NA
"28","VA.LOUT",12,0.907448003734056,1.7397648497397e-06,0.28710184330513,0.237277861215458,0.3473879442733,1.02298564224355,0.852568254906843,1.19340302958026,3,3.9190872769268e-14,NA,NA
"29","PA.ARCA",24,0.60086682317281,8.65688363882455e-06,0.233659409316793,0.192724835193729,0.283288448566535,0.964233284401406,0.914662205172269,1.01380436363054,3,0,NA,NA
"30","MO.GRAN",66,0.640559177373102,8.88178419700125e-16,0.467598156521259,0.396364157786897,0.551634227481373,0.399043278269209,0.207771835658292,0.590314720880126,3,0,NA,NA
"31","PA.INSU",86,0.807461919021812,0,0.302498111836126,0.274610722856106,0.333217533214714,0.750589053209486,0.685219845140158,0.815958261278814,3,0,NA,NA
"32","CA.TERE",23,0.756588347847228,7.02948570463491e-08,0.207438990323885,0.174474398609658,0.246631798415674,0.878840230918551,0.792932719357843,0.964747742479259,3,0,NA,NA
"33","PT.TILE",34,0.682492965571465,1.78325754163211e-09,0.287711592367771,0.237163550701572,0.349033231025285,0.660168711352102,0.579646234355854,0.74069118834835,3,0,NA,NA
"34","CH.VAND",63,0.468931873209957,6.04683858540511e-10,0.39290291720868,0.314546062946708,0.490779318313215,0.457951921751097,0.436181978876016,0.479721864626179,3,0,NA,NA
