"","group","n","r2","pval","Slope","Slope_lowCI","Slope_highCI","Int","Int_lowCI","Int_highCI","Slope_test","Slope_test_p","Elev_test","Elev_test_p"
"1","CA.MELA",12,0.974959773249519,2.44834774676406e-09,0.393012238970936,0.327325954079461,0.471880148995005,0.541041817871498,0.30321313422543,0.778870501517565,3,6.40154595998865e-13,NA,NA
"2","AP.FURC",36,0.686649451123878,4.38336478225665e-10,0.298914117411082,0.251186702033685,0.355710110703489,0.994995044519497,0.863968526247905,1.12602156279109,3,0,NA,NA
"3","LU.BOHA",45,0.873397687621773,0,0.287648428796547,0.262474324975963,0.31523699926345,0.947894904183005,0.876755219533082,1.01903458883293,3,0,NA,NA
"4","CE.ARGU",23,0.295375430408192,0.00735536225206168,0.229329101355155,0.164724933757404,0.319270650342569,1.21062606185403,1.01425557450509,1.40699654920297,3,0,NA,NA
"5","CE.UROD",39,0.129546052818489,0.0244094531103678,0.386613635950443,0.291058355710682,0.51353998457752,0.806570460604636,0.589882021018318,1.02325890019095,3,0,NA,NA
"6","VA.LOUT",12,0.978136004749886,1.2409169247718e-09,0.34772930849776,0.309559210909311,0.390605957526343,0.878081135028327,0.754127442531278,1.00203482752538,3,1.99840144432528e-15,NA,NA
"7","PA.ARCA",24,0.0789997173156221,0.183369599727201,0.258536079581697,0.17533177281164,0.381225281496932,0.878609723078984,0.763104239484459,0.994115206673509,3,0,NA,NA
"8","MO.GRAN",66,0.545770986236117,1.4326317909763e-12,0.42934480656581,0.348822337820622,0.528455155930483,0.418534804685226,0.193103012375639,0.643966596994812,3,0,NA,NA
"9","PA.INSU",86,0.621271978558453,0,0.314034316540106,0.272704119266568,0.36162839134972,0.768905629865556,0.670534963570851,0.867276296160261,3,0,NA,NA
"10","CA.TERE",23,0.646079739021685,3.83875796217126e-06,0.302461251581748,0.242725187847687,0.376898703919446,0.637550610486279,0.483385289547447,0.791715931425112,3,0,NA,NA
"11","PT.TILE",34,0.791439040468394,2.00062189037453e-12,0.426394190564112,0.362725299100405,0.501238833347816,0.363717052874323,0.262117681816981,0.465316423931665,3,0,NA,NA
"12","CH.VAND",63,0.551260002157017,3.29025695577911e-12,0.671398963700439,0.574203485244349,0.785046730021498,0.268465470940714,0.238351003269239,0.298579938612188,3,0,NA,NA
"13","PS.BART",8,0.587330465983346,0.0265538223131605,0.379577892363835,0.210621059202885,0.684069185278303,0.477763780428569,0.35478285040234,0.600744710454797,3,5.00645219270179e-06,NA,NA
"14","PS.DISP",10,0.880832597849758,5.79852897011346e-05,0.350300805192022,0.299340641615749,0.409936497282241,0.664417016986959,0.63074883178199,0.698085202191927,3,5.29287724759797e-12,NA,NA
"15","PS.OLIV",85,0.468817762746189,4.9826809345177e-13,0.352216467036612,0.29257343022432,0.424018133008993,0.576226009651074,0.529288930249138,0.623163089053011,3,0,NA,NA
"16","AC.NIGR",25,0.334433479140031,0.00246112969598355,0.411920036613057,0.285251199763787,0.594837521117563,0.120940264415237,-0.186096957414574,0.427977486245048,3,6.66133814775094e-16,NA,NA
"17","AC.OLIV",7,0.784757053755882,0.00794172665053883,0.343448951990175,0.232953326604631,0.506355433263877,0.233844126784382,-0.0810842223420712,0.548772475910836,3,1.11998375129652e-06,NA,NA
"18","CE.FLAV",34,0.0135528171696622,0.512040493001497,-0.437581061134604,-0.676610487127756,-0.282994704791698,1.14471543525943,0.926577598236565,1.36285327228229,3,3.33066907387547e-16,NA,NA
"19","CH.SORD",71,0.932013308561724,0,0.363434280164068,0.33273209517497,0.396969447533807,0.38206239293872,0.301267081714327,0.462857704163114,3,0,NA,NA
"20","SC.FREN",50,0.567099146850641,2.812847732514e-10,0.46566647029775,0.367300894176164,0.590374989546206,0.0146382839783763,-0.297341522711122,0.326618090667874,3,0,NA,NA
"21","SC.RUBR",10,0.858255715018646,0.000117253001582274,0.59701738159791,0.344450822061233,1.03477690021788,-0.367618216479853,-1.46703819301228,0.731801760052574,3,1.12874084512438e-05,NA,NA
"22","CH.ORNA",73,0.156393560670457,0.000534470676311738,1.22517357530347,0.910201061427958,1.6491414405373,-1.46945739202243,-2.24542809382315,-0.693486690221705,3,3.43437955852011e-09,NA,NA
"23","CA.MELA",12,0.97484070455858,2.50724174755135e-09,0.439402752032248,0.352354851939399,0.547955498358569,0.388216749799564,0.0694851610729028,0.706948338526226,3,1.35091937636389e-11,NA,NA
"24","AP.FURC",36,0.670095770635784,1.06358877260959e-09,0.304795548991727,0.254940764151828,0.364399655717052,0.973287375990658,0.837666838339928,1.10890791364139,3,0,NA,NA
"25","LU.BOHA",45,0.797450284257352,0,0.346161232983985,0.296146519268307,0.404622683113253,0.825680337176849,0.69490282811407,0.956457846239627,3,0,NA,NA
"26","CE.ARGU",23,0.647231507144496,3.7066955171916e-06,0.397129344616502,0.281569602201826,0.560116273639817,0.778869359153975,0.408166691238167,1.14957202706978,3,5.55111512312578e-16,NA,NA
"27","CE.UROD",39,0.380981099465669,2.84703971940026e-05,0.242335911974902,0.206743445900771,0.284055893413396,1.0965059993891,1.02672986180104,1.16628213697715,3,0,NA,NA
"28","VA.LOUT",12,0.949563273110646,8.20669203704938e-08,0.306812460211081,0.250402987012554,0.375929564035339,0.993048036572957,0.802568269923731,1.18352780322218,3,1.46660461552983e-13,NA,NA
"29","PA.ARCA",24,0.360370659281511,0.00192625750340936,0.262498056179882,0.200185171741432,0.344207460017155,0.896165877943379,0.814291200113608,0.97804055577315,3,0,NA,NA
"30","MO.GRAN",66,0.575742624896032,1.57207580286922e-13,0.392370638422327,0.322288412470747,0.477692377196212,0.524334983221835,0.332855282644111,0.715814683799559,3,0,NA,NA
"31","PA.INSU",86,0.798103704082635,0,0.334313068403561,0.301675087147479,0.370482126191501,0.726358724609192,0.649494906406137,0.803222542812246,3,0,NA,NA
"32","CA.TERE",23,0.742354378988741,1.28751651784498e-07,0.317835600588207,0.264284128462979,0.382238122239026,0.629309706835677,0.48831223850429,0.770307175167063,3,0,NA,NA
"33","PT.TILE",34,0.822011945007178,1.55653268052447e-13,0.392061547871747,0.338012154179022,0.454753639533859,0.392629762546885,0.308737160672372,0.476522364421398,3,0,NA,NA
"34","CH.VAND",63,0.458313023984676,1.1179752679169e-09,0.597171589455561,0.500898877566551,0.711947906502347,0.299313794121111,0.271401385895524,0.327226202346699,3,0,NA,NA
"35","PS.BART",8,0.867554534961902,0.000765260010275881,0.281243503756871,0.206079349454828,0.383822583944922,0.560376338267735,0.506745510425298,0.614007166110172,3,1.42086433729816e-08,NA,NA
"36","PS.DISP",10,0.925761848919842,8.56423837602982e-06,0.421164097458853,0.303842204603368,0.583787223436847,0.609301536611623,0.51908705241056,0.699516020812686,3,8.99366670026325e-09,NA,NA
"37","PS.OLIV",85,0.50884554068618,1.86517468137026e-14,0.306398750161931,0.264244947321717,0.355277158758668,0.611385657693496,0.579997622069747,0.642773693317245,3,0,NA,NA
"38","AC.NIGR",25,0.44050837669677,0.000297899753191722,0.361599030167465,0.293090133282149,0.446121666239027,0.167939452787799,0.00357476694173628,0.332304138633861,3,0,NA,NA
"39","AC.OLIV",7,0.873987418516267,0.00200693991299761,0.467356899844326,0.288844094305305,0.756195041333366,-0.0285751181949219,-0.563501949834506,0.506351713444662,3,1.68391923882627e-05,NA,NA
"40","CE.FLAV",34,0.0627839217230846,0.152914168602269,0.461284356111936,0.332019963634053,0.640874888559803,0.233358228352121,0.0603911042752034,0.406325352429039,3,0,NA,NA
"41","CH.SORD",71,0.585120617461067,7.99360577730113e-15,0.373311723498653,0.316669993788781,0.440084774797099,0.370682705477889,0.219939111364792,0.521426299590987,3,0,NA,NA
"42","SC.FREN",50,0.367746375309758,3.04655250360497e-06,0.366577024577551,0.285792859141682,0.47019619507537,0.291305439088701,0.0311139308840929,0.551496947293309,3,0,NA,NA
"43","SC.RUBR",10,0.988042504732704,5.61703084045462e-09,0.409302387249372,0.358325493696468,0.467531468330148,0.239981416211306,0.0801641632143365,0.399798669208276,3,4.981792756098e-12,NA,NA
"44","CH.ORNA",73,0.276204325850646,1.80348961409393e-06,1.22017901831998,0.960780300383936,1.54961216019247,-1.45514857298275,-2.07400159263842,-0.836295553327083,3,2.16937579011756e-12,NA,NA
"45","CA.MELA",12,0.951827085246489,6.51658809136535e-08,0.367745459403732,0.306227423961865,0.441621854641285,0.62166037462238,0.407426524570479,0.835894224674281,3,3.26405569239796e-13,NA,NA
