"","group","n","r2","pval","Slope","Slope_lowCI","Slope_highCI","Int","Int_lowCI","Int_highCI","Slope_test","Slope_test_p","Elev_test","Elev_test_p"
"1","CA.MELA",12,0.952485338073386,6.08162413762159e-08,1.1643981720108,0.665850632597572,2.03622710050277,-1.28957019151293,-3.12202981006324,0.542889427037371,1,0.575694229725942,NA,NA
"2","AP.FURC",36,0.61613726632653,1.45187066813435e-08,0.6627816116609,0.524279414314594,0.837872807442006,0.161796939481828,-0.207835064097213,0.531428943060869,1,0.000912212257580869,NA,NA
"3","LU.BOHA",45,0.808479325287403,0,0.836385481462053,0.733139749105358,0.954170980981663,-0.272756882176854,-0.525994136358747,-0.019519627994962,1,0.00887779940457145,NA,NA
"4","CE.ARGU",23,0.219920400726346,0.0239887912097856,0.938674763849954,0.623696934675253,1.41272188991524,-0.413601906954681,-1.33588477278432,0.50868095887496,1,0.757102333619726,NA,NA
"5","CE.UROD",39,0.657021975093454,4.00775856945756e-10,1.44607335374501,1.21911113523762,1.71528918403633,-1.53940692884959,-2.07238509477754,-1.00642876292164,1,7.46927788120022e-05,NA,NA
"6","VA.LOUT",12,0.964034260516647,1.50368792972699e-08,1.01584159488279,0.899301977549909,1.1474834612345,-0.657784124064922,-0.964938176874321,-0.350630071255524,1,0.780194114999002,NA,NA
"7","PA.ARCA",24,0.17326169437442,0.0430521642007053,0.934351294344111,0.63020398119935,1.38528534773943,-0.557641356274317,-1.24799569726978,0.132712984721149,1,0.730571323405385,NA,NA
"8","MO.GRAN",66,0.357054945136776,1.17813886202356e-07,1.44237432302875,1.1157254436969,1.86465559200587,-1.83124364209124,-2.69587142615159,-0.966615858030891,1,0.00537292225351282,NA,NA
"9","PA.INSU",29,0.79434887560325,9.03028762877511e-11,1.12559028041638,0.845164188095418,1.49906195413097,-1.12696328847952,-1.88468043337003,-0.369246143589002,1,0.409576293465238,NA,NA
"10","CA.TERE",23,0.706940956449168,5.08708652091627e-07,1.0315351800192,0.814641709026177,1.30617523731904,-1.04742201134057,-1.6129388351514,-0.481905187529742,1,0.7889991046467,NA,NA
"11","PT.TILE",34,0.823627549707892,1.34336985979644e-13,1.42306610870697,1.22647137971136,1.65117358892384,-1.96835553137035,-2.40591034391701,-1.53080071882368,1,2.53183544487445e-05,NA,NA
"12","CH.VAND",63,0.756464003737259,0,2.01488138630566,1.75481632832084,2.31348827530329,-2.72204560342447,-3.14406382504825,-2.30002738180069,1,4.44089209850063e-16,NA,NA
"13","PS.BART",8,0.890651706176005,0.000426533043828892,1.84271471108352,1.4607616335131,2.3245390819016,-2.42981550208486,-3.16607893911003,-1.69355206505969,1,0.000500828169433531,NA,NA
"14","PS.DISP",10,0.87053174273445,8.11601889507685e-05,1.80043052995587,1.38698500539214,2.3371197818254,-2.22620661493214,-3.0221490617683,-1.43026416809598,1,0.000615751014160115,NA,NA
"15","PS.OLIV",85,0.530756621453876,2.66453525910038e-15,1.08740307787679,0.92072238885783,1.2842583911126,-1.08186779411833,-1.39244065016849,-0.77129493806816,1,0.321090257187721,NA,NA
"16","AC.NIGR",25,0.480582671682019,0.000122099752958515,1.44488377315933,1.12791510406748,1.85092753028179,-2.13450896475957,-2.89924211655488,-1.36977581296426,1,0.00490533997287246,NA,NA
"17","AC.OLIV",7,0.923391554483237,0.000567333384844382,1.89537434999685,1.47787511331941,2.43081698463485,-3.18023069184732,-4.25668496962699,-2.10377641406765,1,0.000920871802215117,NA,NA
