,CA.TERE_ga,PT.TILE_ga,CH.VAND_ga,PS.BART_ga,PS.DISP_ga,PS.OLIV_ga
elev,-1.95942,-3.302642,-3.902426,-1.647807,-3.432046,-1.900307
slp_test,2,2,2,2,2,2
slope,1.969114,2.535941,3.077642,1.813125,2.918999,2.014211
lower,1.652909,2.188946,2.586079,1.000658,2.359497,1.842341
upper,2.34581,2.937943,3.66264,3.285262,3.611174,2.202114
slp_p_val,8.56E-01,2.24E-03,3.80E-06,7.16E-01,9.60E-04,8.76E-01
xy_r2,0.8336237,0.8091255,0.5333249,0.6022399,0.7051934,0.7371593
xy_cor,1.97E-10,1.64E-14,1.10E-11,2.36E-02,1.23E-08,0.00E+00
n,25,38,63,8,29,131
from,68.18134,61.40117,20.38628,27.03905,24.74314,22.62976
to,258.9828,204.61878,40.00939,66.21601,59.98675,78.43131
