,CA.TERE_gw,PT.TILE_gw,CH.VAND_gw,PS.BART_gw,PS.DISP_gw,PS.OLIV_gw
elev,-1.141313,-2.121969,-2.579535,-0.797048,-2.13101,-1.129721
slp_test,1,1,1,1,1,1
slope,1.0757241,1.4972118,1.9433733,0.8855738,1.7018588,1.1118947
lower,0.8897279,1.2924482,1.6174093,0.5854666,1.325177,1.0009057
upper,1.300603,1.734416,2.33503,1.339515,2.185612,1.235191
slp_p_val,4.37E-01,1.76E-06,1.25E-10,5.10E-01,1.10E-04,4.81E-02
xy_r2,0.8039768,0.8093304,0.4799426,0.8183635,0.5901638,0.6342286
xy_cor,1.32E-09,1.62E-14,3.16E-10,2.02E-03,1.14E-06,0.00E+00
n,25,38,63,8,29,131
from,67.57428,59.80803,21.04328,24.19212,25.2184,22.80601
to,263.17711,203.99685,39.7166,60.63162,58.6547,76.20806
