type,SpecimenID,SpeciesCode,Family,j_fg,SiteName,SizeClass,wt,SL,gh,gw,TL,FL,DissectedBy,Prey_zps,pType,pSize,ga
fish,CEPURO004,CE.UROD,Serranidae,Pi,31,32 - 64 g,60,62,NA,NA,74,74,rowan,y,fish,22,NA
fish,CEPURO005,CE.UROD,Serranidae,Pi,30,32 - 64 g,46,116,NA,NA,142,142,drew,y,fish,21,NA
fish,CEPURO007,CE.UROD,Serranidae,Pi,35,128 - 256 g,139,170,NA,NA,203,203,drew,y,fish,66,NA
fish,EPIMAC001,EP.MACU,Serranidae,Pi,31,256 - 512 g,351,227,NA,NA,268,268,drew,y,invert,44,NA
fish,CEPURO014,CE.UROD,Serranidae,Pi,30,64 - 128 g,110,153,NA,NA,186,186,amy,y,fish,20,NA
fish,CEPURO016,CE.UROD,Serranidae,Pi,30,32 - 64 g,39,103,NA,NA,133,133,amy,y,invert,3,NA
fish,CEPURO017,CE.UROD,Serranidae,Pi,30,32 - 64 g,48,114,NA,NA,144,144,amy,y,fish,17,NA
fish,CEPURO018,CE.UROD,Serranidae,Pi,35,64 - 128 g,101,49,NA,NA,180,180,amy,y,invert,41,NA
fish,CEPURO029,CE.UROD,Serranidae,Pi,35,64 - 128 g,104,143,NA,NA,179,179,amy,p,fish,42,NA
fish,CEPURO033,CE.UROD,Serranidae,Pi,25,32 - 64 g,51,119,NA,NA,147,147,amy,y,fish,11,NA
fish,MONGRA001,MO.GRAN,Lethrinidae,BI,8,256 - 512 g,433,214,NA,NA,287,253,amy.laura,y,invert,4,NA
fish,CEPURO042,CE.UROD,Serranidae,Pi,7,16 - 32 g,30,98,NA,NA,120,120,amy.laura,y,invert,8,NA
fish,CEPURO048,CE.UROD,Serranidae,Pi,25,64 - 128 g,105,131,NA,NA,171,171,amy.laura,y,fish,37,NA
fish,CEPURO049,CE.UROD,Serranidae,Pi,25,64 - 128 g,119,155,NA,NA,190,190,amy.laura,y,invert,2,NA
fish,CEPURO051,CE.UROD,Serranidae,Pi,25,64 - 128 g,88,138,NA,NA,171,171,amy.laura,y,fish,36,NA
fish,CEPURO056,CE.UROD,Serranidae,Pi,25,64 - 128 g,114,151,NA,NA,187,187,amy.laura,y,fish,26,NA
fish,CEPURO057,CE.UROD,Serranidae,Pi,25,32 - 64 g,46,122,NA,NA,149,149,amy.laura,y,fish,14,NA
fish,CEPURO059,CE.UROD,Serranidae,Pi,25,64 - 128 g,95,148,NA,NA,183,183,amy.laura,y,fish,34,NA
fish,EPIHEX001,EP.HEXA,Serranidae,Pi,15,64 - 128 g,118,162,NA,NA,200,200,rowan.drew,y,invert,4,NA
fish,MONGRA005,MO.GRAN,Lethrinidae,BI,9,256 - 512 g,279,191,NA,NA,248,213,amy,y,invert,3,NA
fish,LUTKAS004,LU.KASM,Lutjanidae,Pi,Wreck,128 - 256 g,142,160,NA,NA,205,288,amy,y,fish,25,NA
fish,PARINS002,PA.INSU,Mullidae,BI,7,256 - 512 g,451,249,NA,NA,323,276,amy,y,invert,10,NA
fish,PARINS004,PA.INSU,Mullidae,BI,26,512 - 1024 g,524,274,NA,NA,323,288,amy,y,invert,10,NA
fish,PARINS005,PA.INSU,Mullidae,BI,3,256 - 512 g,416,255,NA,NA,320,278,amy,y,invert,30,NA
fish,PARINS007,PA.INSU,Mullidae,BI,26,512 - 1024 g,618,272,NA,NA,337,298,amy,p,fish,50,NA
fish,EPIHEX007,EP.HEXA,Serranidae,Pi,3,128 - 256 g,237,229,NA,NA,255,255,drew.rowan,p,fish,61,NA
fish,EPITAU006,EP.TAUV,Serranidae,Pi,30,256 - 512 g,417,242,NA,NA,290,290,drew.rowan,y,invert,20,NA
fish,EPITAU007,EP.TAUV,Serranidae,Pi,26,512 - 1024 g,658,275,NA,NA,310,310,drew.rowan,y,invert,20,NA
fish,EPIHEX011,EP.HEXA,Serranidae,Pi,8,128 - 256 g,250,223,NA,NA,261,261,drew.rowan,y,invert,11,NA
fish,PARINS008,PA.INSU,Mullidae,BI,14,256 - 512 g,378,240,NA,NA,298,261,amy,y,invert,12,NA
fish,PARINS009,PA.INSU,Mullidae,BI,25,128 - 256 g,168,187,NA,NA,237,208,amy,y,invert,5,NA
fish,PARINS010,PA.INSU,Mullidae,BI,14,256 - 512 g,409,240,NA,NA,300,264,amy,y,invert,10,NA
fish,PARINS011,PA.INSU,Mullidae,BI,30,256 - 512 g,296,223,NA,NA,272,241,amy,y,invert,4,NA
fish,PARINS012,PA.INSU,Mullidae,BI,30,256 - 512 g,303,220,NA,NA,271,237,amy,p,invert,30,NA
fish,PARINS013,PA.INSU,Mullidae,BI,14,128 - 256 g,213,192,NA,NA,238,208,amy,y,invert,3.5,NA
fish,PARINS014,PA.INSU,Mullidae,BI,14,256 - 512 g,316,222,NA,NA,266,245,amy,p,fish,30,NA
fish,PARINS015,PA.INSU,Mullidae,BI,14,256 - 512 g,310,214,NA,NA,270,240,amy,y,invert,5,NA
fish,PARINS016,PA.INSU,Mullidae,BI,34,512 - 1024 g,526,209,NA,NA,349,301,rowan.laura,y,fish,20,NA
fish,PARINS017,PA.INSU,Mullidae,BI,14,256 - 512 g,422,240,NA,NA,300,272,rowan.laura,p,invert,3,NA
fish,PARINS018,PA.INSU,Mullidae,BI,25,128 - 256 g,180,190,NA,NA,235,210,rowan.laura,y,invert,20,NA
fish,PARINS019,PA.INSU,Mullidae,BI,25,256 - 512 g,266,220,NA,NA,266,234,rowan.laura,y,fish,20,NA
fish,PARINS020,PA.INSU,Mullidae,BI,25,128 - 256 g,163,180,NA,NA,224,189,rowan.laura,y,invert,8,NA
fish,PARINS021,PA.INSU,Mullidae,BI,25,256 - 512 g,314,230,NA,NA,270,241,rowan.laura,y,invert,10,NA
fish,PARINS023,PA.INSU,Mullidae,BI,25,128 - 256 g,193,200,NA,NA,241,215,rowan.laura,y,invert,12,NA
fish,PARINS024,PA.INSU,Mullidae,BI,14,256 - 512 g,476,260,NA,NA,333,284,amy,y,invert,3,NA
fish,MONGRA012,MO.GRAN,Lethrinidae,BI,30,256 - 512 g,294,190,NA,NA,250,220,amy,y,invert,2,NA
fish,MONGRA013,MO.GRAN,Lethrinidae,BI,30,128 - 256 g,250,187,NA,NA,244,217,amy,y,invert,3,NA
fish,PARINS025,PA.INSU,Mullidae,BI,35,512 - 1024 g,581,272,NA,NA,340,303,amy,y,fish,12,NA
fish,PARINS026,PA.INSU,Mullidae,BI,30,128 - 256 g,211,204,NA,NA,250,223,amy,y,invert,5,NA
fish,PARINS028,PA.INSU,Mullidae,BI,30,128 - 256 g,214,203,NA,NA,252,221,amy,y,invert,5,NA
fish,PARINS029,PA.INSU,Mullidae,BI,30,128 - 256 g,129,179,NA,NA,226,197,amy,y,invert,5,NA
fish,PARINS030,PA.INSU,Mullidae,BI,30,128 - 256 g,215,201,NA,NA,254,216,amy,y,invert,5,NA
fish,PARINS031,PA.INSU,Mullidae,BI,30,128 - 256 g,164,187,NA,NA,233,203,amy,y,invert,15,NA
fish,PARINS032,PA.INSU,Mullidae,BI,26,256 - 512 g,383,240,NA,NA,304,264,amy,y,invert,10,NA
fish,PARINS033,PA.INSU,Mullidae,BI,26,512 - 1024 g,514,255,NA,NA,325,282,amy,y,fish,23,NA
fish,EPISPI003,EP.SPIL,Serranidae,Pi,35,128 - 256 g,196,200,NA,NA,245,245,amy,y,invert,9,NA
fish,PARINS036,PA.INSU,Mullidae,BI,30,128 - 256 g,216,192,NA,NA,245,213,amy,y,fish,25,NA
fish,PARINS037,PA.INSU,Mullidae,BI,30,128 - 256 g,197,204,NA,NA,257,221,amy,y,invert,7,NA
fish,EPISPI004,EP.SPIL,Serranidae,Pi,27,128 - 256 g,161,181,NA,NA,220,220,amy,y,fish,30,NA
fish,CEPARG104,CE.ARGU,Serranidae,Pi,13,256 - 512 g,268,210,NA,NA,259,None,None,y,fish,100,NA
fish,CEPARG145,CE.ARGU,Serranidae,Pi,9,256 - 512 g,466,243,NA,NA,291,None,None,y,fish,3,NA
fish,KIF11_006,PA.INSU,Mullidae,BI,34,256 - 512 g,405.7,236,31.71,33.6,293,257,SC,y,invert,39,836.8071856
fish,KIF11_006,PA.INSU,Mullidae,BI,34,256 - 512 g,405.7,236,31.71,33.6,293,257,SC,y,invert,29,836.8071856
fish,KIF11_006,PA.INSU,Mullidae,BI,34,256 - 512 g,405.7,236,31.71,33.6,293,257,SC,y,invert,9.5,836.8071856
fish,KIF11_006,PA.INSU,Mullidae,BI,34,256 - 512 g,405.7,236,31.71,33.6,293,257,SC,y,invert,7.8,836.8071856
fish,KIF11_006,PA.INSU,Mullidae,BI,34,256 - 512 g,405.7,236,31.71,33.6,293,257,SC,y,invert,3.5,836.8071856
fish,KIF11_009,PA.INSU,Mullidae,BI,30,512 - 1024 g,565.5,260,30.14,40.86,327,285,SC,y,invert,20,967.2338603
fish,KIF11_009,PA.INSU,Mullidae,BI,30,512 - 1024 g,565.5,260,30.14,40.86,327,285,SC,y,fish,30,967.2338603
fish,KIF11_011,PA.INSU,Mullidae,BI,30,256 - 512 g,297,215,27.24,31.14,271,235,SC,y,invert,35,666.2168195
fish,KIF11_011,PA.INSU,Mullidae,BI,30,256 - 512 g,297,215,27.24,31.14,271,235,SC,y,invert,20,666.2168195
fish,KIF11_025,LU.BOHA,Lutjanidae,Pi,35,64 - 128 g,110.6,149,33.84,32.36,189,172,SC,y,fish,60,860.0599978
