,MO.GRAN_gh,PA.ARCA_gh,PA.INSU_gh
elev,-2.130631267,-3.808280032,-0.753767184
slp_test,1,1,1
slope,1.601282148,2.627451903,0.955365926
upper_limit,1.341299632,1.481775641,0.844835325
lower_limit,1.911656767,4.658939796,1.08035735
slp_p_value,6.92E-07,0.001354714,0.463575485
xy_r^2,0.63548607,0.043233927,0.753898949
xy_corr_p_value,0,0.439671348,0
n,70,16,93
from,123.5734608,65.19256125,40.10373975
to,300.4354247,88.98286265,276.2264087
,,,
,MO.GRAN_gw,PA.ARCA_gw,PA.INSU_gw
elev,-1.716617749,-4.565146913,-0.897398549
slp_test,1,1,1
slope,1.391476038,2.982472007,1.041072456
upper_limit,1.131293177,1.635905037,0.933989786
lower_limit,1.711497605,5.437442315,1.160432238
slp_p_value,0.001967746,0.000544827,0.463998041
xy_r^2,0.483076303,0.120693979,0.774915855
xy_corr_p_value,2.47E-11,0.187357479,0
n,70,16,93
from,126.2913162,65.81344689,44.71647273
to,290.2122821,93.40289446,287.7461616
,,,
,MO.GRAN_ga,PA.ARCA_ga,PA.INSU_ga
elev,-3.472029707,-7.119867089,-1.667914475
slp_test,2,2,2
slope,2.784112131,4.894001292,1.956742735
upper_limit,2.326795565,2.699836081,1.734659546
lower_limit,3.331311299,8.871371421,2.20725856
slp_p_value,0.000397912,0.003776243,0.719907778
xy_r^2,0.616977054,0.089132054,0.781806271
xy_corr_p_value,8.88E-16,0.261358262,0
n,70,16,93
from,123.4153206,64.73661434,41.71792066
to,299.4269879,89.89485343,283.9164982
