,pGH,bGH,zGH,hGH,cGH
elev,-0.526993177,-1.11320083,-0.97333672,-1.892602485,-1.877379795
slp_test,1,1,1,1,1
slope,0.940495424,1.13737618,1.039402867,1.419782229,1.426020878
upper_limit,0.87470767,1.048388997,0.991486492,1.344191231,1.146736211
lower_limit,1.01123115,1.233916589,1.089634936,1.499624109,1.77332461
slp_p_value,0.096878693,0.002089824,0.108176179,0,0.001633151
xy_r^2,0.753724314,0.697680187,0.831957898,0.863824131,0.276206187
xy_corr_p_value,0,0,0,0,1.15E-05
n,184,179,294,179,62
from,30.71021982,44.33475837,16.75476797,50.88766998,94.57328957
to,557.1068915,340.9763477,230.6504326,388.2534748,147.9155046
,,,,,
,pGW,bGW,zGW,hGW,cGW
elev,-0.894858744,-1.096894053,-1.382840809,-1.666244795,-2.197786548
slp_test,1,1,1,1,1
slope,1.103953858,1.127269067,1.210624987,1.2513428,1.561185527
upper_limit,1.024834357,1.050168949,1.150820964,1.183736699,1.249545331
lower_limit,1.189181562,1.210029636,1.273536811,1.32281005,1.950549683
slp_p_value,0.009380673,0.001014159,9.49E-13,1.32E-13,0.000125564
xy_r^2,0.740974206,0.771500096,0.806357306,0.859656245,0.24415224
xy_corr_p_value,0,0,0,0,4.47E-05
n,184,179,294,179,62
from,30.3125687,47.93477411,16.72784024,45.24146467,91.3602644
to,527.5793733,297.1116266,243.0948844,388.2432456,151.1598527
,,,,,
,pGA,bGA,zGA,hGA,cGA
elev,-1.478618762,-2.173264953,-2.430407359,-3.591028939,-3.76801001
slp_test,2,2,2,2,2
slope,2.023627527,2.201149651,2.23249138,2.639314806,2.791269331
upper_limit,1.884461932,2.052331101,2.129299042,2.508671696,2.25154224
lower_limit,2.173070359,2.360759325,2.340684735,2.776761365,3.460376776
slp_p_value,0.74557739,0.007529691,6.87E-06,0,0.002646953
xy_r^2,0.762273786,0.776916763,0.831037359,0.882770849,0.296875606
xy_corr_p_value,0,0,0,0,4.68E-06
n,184,179,294,179,62
from,30.17349848,45.0608546,16.64299977,47.74277689,93.76231405
to,541.108149,321.3708306,238.4901675,389.7609976,150.5594388
