,h_spp,gape,elev,slp_test,slope,upper,lower,slp_p_val,xy_r2,xy_cor,n,from,to
1,AC.NIGR,gh,-1.789635348,1,1.334190689,0.995384212,1.788319296,0.053538387,0.529463958,2.53E-05,26,91.32229384,182.2507578
2,AC.OLIV,gh,-1.748407155,1,1.293174243,0.694269066,2.408719764,0.359707767,0.468914518,0.08962646,7,156.6763951,220.6046017
3,CE.FLAV,gh,-1.398946378,1,1.152680631,0.675480337,1.967004167,0.556392245,0.425424589,0.079623092,8,49.01119834,80.87128479
4,CH.SORD,gh,-1.397802867,1,1.22965896,1.096423103,1.379085459,0.000557426,0.858244138,0,75,69.25309888,283.0573346
5,SC.FREN,gh,-1.638221846,1,1.310921455,0.993528009,1.729709729,0.055546101,0.564643097,5.89E-11,54,93.50370215,334.2493237
6,SC.RUBR,gh,-2.045512198,1,1.457286485,1.052066693,2.018582959,0.028539279,0.884804654,0.000158277,9,88.61780368,406.0259538
,,,,,,,,,,,,,
,h_spp,gape,elev,slp_test,slope,upper,lower,slp_p_val,xy_r2,xy_cor,n,from,to
1,AC.NIGR,gw,-1.451497258,1,1.120920362,0.760755078,1.651599174,0.557958527,0.310330454,0.003114815,26,93.7257155,173.3379307
2,AC.OLIV,gw,-1.696158035,1,1.220810161,0.665394593,2.239840036,0.459678513,0.741015601,0.012858839,7,156.2204842,246.3731961
3,CE.FLAV,gw,-2.73980927,1,1.848907278,1.191833454,2.868234746,0.012367211,0.701691013,0.009434221,8,48.58026176,76.07158719
4,CH.SORD,gw,-1.629345505,1,1.259584078,1.135338301,1.397426693,2.91E-05,0.85473324,0,75,70.34864955,289.3566563
5,SC.FREN,gw,-1.623968347,1,1.216704055,0.919509251,1.609955261,0.168616936,0.504493654,1.80E-09,54,108.7409739,338.436391
6,SC.RUBR,gw,-1.574733077,1,1.210140941,0.844022323,1.735073891,0.257545422,0.96888295,1.57E-06,9,83.88764607,393.5358525
,,,,,,,,,,,,,
,h_spp,gape,elev,slp_test,slope,upper,lower,slp_p_val,xy_r2,xy_cor,n,from,to
1,AC.NIGR,ga,-2.376139035,2,1.992866907,1.485052189,2.674329251,0.980487655,0.585002741,5.36E-06,26,90.90260181,181.9534606
2,AC.OLIV,ga,-3.709981597,2,2.587762581,1.389832748,4.818216568,0.358447765,0.721224174,0.015599008,7,157.8651156,231.1490499
3,CE.FLAV,ga,-4.120846619,2,2.939517678,1.882492491,4.590065682,0.08081264,0.670721217,0.012889733,8,48.38084244,77.69404657
4,CH.SORD,ga,-3.107147515,2,2.475979358,2.244945887,2.730789111,4.05E-05,0.896734914,0,75,69.79546647,287.2406318
5,SC.FREN,ga,-3.21290528,2,2.464064308,1.87547014,3.237381809,0.133029462,0.575251676,3.07E-11,54,99.20329612,336.8501585
6,SC.RUBR,ga,-3.487384061,2,2.572822142,1.809103569,3.658946833,0.138008332,0.937369933,1.83E-05,9,84.47544584,401.6653345
