,carangidae_gh,lutjanidae_gh,serranidae_gh
elev,-0.793291702,-0.376259984,-0.670064407
slp_test,1,1,1
slope,0.954374053,0.8767642,1.027879378
upper_limit,0.751931542,0.811003032,0.911281441
lower_limit,1.211320157,0.947857692,1.159395954
slp_p_value,0.674559534,0.001154126,0.651347895
xy_r^2,0.933811057,0.929468229,0.750392942
xy_corr_p_value,3.22E-07,0,0
n,12,92,80
from,173.3977486,28.38419479,64.29061334
to,588.1936893,516.6936588,501.6091595
,,,
,carangidae_gw,lutjanidae_gw,serranidae_gw
elev,-0.939902014,-0.49632505,-0.827244687
slp_test,1,1,1
slope,1.039135735,0.932933017,1.106296226
upper_limit,0.885882926,0.852280275,0.995813362
lower_limit,1.218900426,1.021218067,1.229036872
slp_p_value,0.605046305,0.130891963,0.059654481
xy_r^2,0.962300424,0.885704826,0.693374844
xy_corr_p_value,1.90E-08,0,0
n,12,92,80
from,178.3708342,24.97532211,60.93319695
to,577.9653945,550.0748995,488.4827204
,,,
,carangidae_ga,lutjanidae_ga,serranidae_ga
elev,-1.699354349,-0.947921514,-1.564803232
slp_test,2,2,2
slope,1.94039538,1.796858544,2.116481823
upper_limit,1.566639536,1.661709823,1.890966831
lower_limit,2.403318788,1.942999062,2.368891529
slp_p_value,0.760908312,0.007753176,0.321030753
xy_r^2,0.96487395,0.915466858,0.740016517
xy_corr_p_value,1.34E-08,0,0
n,12,92,80
from,173.9092563,26.35362546,62.26319905
to,585.4963179,535.4892081,493.7299374
