"","caesionidae_ga","pomacentridae_ga","serranidae_ga"
"elev",-3.201931641029,-4.01974330812863,-2.164727304738
"slp_test",2,2,2
"slope",2.49783437065422,3.15076140629801,2.16905492270391
"upper_limit",2.30429747248696,2.62644587395728,1.9832649864744
"lower_limit",2.70762634499956,3.77974567755303,2.37224944210289
"slp_p_value",6.54996417659426e-07,3.08040543139931e-06,0.0754924044271252
"xy_r^2",0.895271018113321,0.533324883799591,0.717156016599215
"xy_corr_p_value",0,1.10433884259464e-11,0
"n",63,63,168
"from",60.4551276039872,20.5658265003144,22.2989485598817
"to",256.14933003972,40.0209277293364,77.2560665664425
