,caesionidae_gh,pomacentridae_gh,serranidae_gh
elev,-1.201115241,-1.417496936,-0.900582059
slp_test,1,1,1
slope,1.102313788,1.265032667,1.040335066
upper_limit,1.014541688,1.041328722,0.947459915
lower_limit,1.197679406,1.536793921,1.142314343
slp_p_value,0.022102932,0.018387725,0.405550935
xy_r^2,0.865004088,0.51594603,0.731733934
xy_corr_p_value,0,3.42E-11,0
n,63,63,168
from,61.97891463,20.00192673,22.87123239
to,251.649375,40.13777676,80.43967672
,,,
,caesionidae_gw,pomacentridae_gw,serranidae_gw
elev,-2.002185063,-2.645731301,-1.300573793
slp_test,1,1,1
slope,1.443782011,1.984298122,1.211320834
upper_limit,1.33319156,1.65208573,1.091907671
lower_limit,1.563546122,2.383313993,1.343793255
slp_p_value,1.70E-13,3.86E-11,0.000335116
xy_r^2,0.887931253,0.479942569,0.627111996
xy_corr_p_value,0,3.16E-10,0
n,63,63,168
from,58.53260734,21.20060394,22.46699979
to,257.8122628,39.74510811,74.95587321
,,,
,caesionidae_ga,pomacentridae_ga,serranidae_ga
elev,-3.201931641,-4.019743308,-2.164727305
slp_test,2,2,2
slope,2.497834371,3.150761406,2.169054923
upper_limit,2.304297472,2.626445874,1.983264986
lower_limit,2.707626345,3.779745678,2.372249442
slp_p_value,6.55E-07,3.08E-06,0.075492404
xy_r^2,0.895271018,0.533324884,0.717156017
xy_corr_p_value,0,1.10E-11,0
n,63,63,168
from,60.4551276,20.5658265,22.29894856
to,256.14933,40.02092773,77.25606657
