,z_spp,gape,elev,slp_test,slope,upper,lower,slp_p_val,xy_r2,xy_cor,n,from,to
1,CA.TERE,gh,-0.498164931,1,0.80068006,0.626338408,1.02354981,0.074382519,0.803268467,1.38E-09,25,64.49065308,263.8583669
2,PT.TILE,gh,-1.192336745,1,1.095070957,0.939340004,1.276620176,0.238864828,0.734548672,6.54E-12,38,62.26987584,202.4820541
3,CH.VAND,gh,-1.417496936,1,1.265032667,1.041328722,1.536793921,0.018387725,0.51594603,3.42E-11,63,20.00192673,40.13777676
4,PS.BART,gh,-0.843436896,1,0.979146569,0.428197536,2.238985336,0.957335238,0.320140784,0.143783825,8,29.1094794,71.69494085
5,PS.DISP,gh,-1.633094011,1,1.472978109,1.171022236,1.852795313,0.001550895,0.791392577,1.10E-10,29,25.59595213,62.14473403
6,PS.OLIV,gh,-0.758573742,1,0.95851707,0.870562114,1.055358324,0.385997198,0.768353999,0,131,22.88345142,81.85635966
,,,,,,,,,,,,,
,z_spp,gape,elev,slp_test,slope,upper,lower,slp_p_val,xy_r2,xy_cor,n,from,to
1,CA.TERE,gw,-0.950949638,1,0.993146706,0.802591885,1.228943872,0.947730507,0.803976778,1.32E-09,25,64.40857421,265.8785828
2,PT.TILE,gw,-2.140830886,1,1.506062874,1.300728162,1.743812002,1.27E-06,0.809330414,1.62E-14,38,59.96811762,203.7445935
3,CH.VAND,gw,-2.645731301,1,1.984298122,1.65208573,2.383313993,3.86E-11,0.479942569,3.16E-10,63,21.20060394,39.74510811
4,PS.BART,gw,-0.797048004,1,0.885573844,0.631110786,1.242636079,0.421125062,0.818363481,0.00201615,8,24.19211577,60.63162287
5,PS.DISP,gw,-2.581092248,1,1.965510829,1.463904438,2.638992491,3.05E-05,0.590163821,1.14E-06,29,26.25965639,57.91097908
6,PS.OLIV,gw,-1.129248596,1,1.112836653,0.994442605,1.245326186,0.06234705,0.634228636,0,131,22.7646636,76.03042352
,,,,,,,,,,,,,
,z_spp,gape,elev,slp_test,slope,upper,lower,slp_p_val,xy_r2,xy_cor,n,from,to
1,CA.TERE,ga,-1.561504247,2,1.796259889,1.424748923,2.264644343,0.350746058,0.83362365,1.97E-10,25,64.57710891,261.6692151
2,PT.TILE,ga,-3.290242253,2,2.529946188,2.217273876,2.886710469,0.00085797,0.809125512,1.64E-14,38,61.34934407,204.7573826
3,CH.VAND,ga,-4.019743308,2,3.150761406,2.626445874,3.779745678,3.08E-06,0.533324884,1.10E-11,63,20.5658265,40.02092773
4,PS.BART,ga,-1.327220307,2,1.609256919,0.838234164,3.089480173,0.472485663,0.602239925,0.023577263,8,26.69132068,69.3999204
5,PS.DISP,ga,-4.036222202,2,3.273207291,2.527186678,4.239451743,0.000416797,0.705193363,1.23E-08,29,25.61229796,59.46150083
6,PS.OLIV,ga,-1.84964575,2,1.987986417,1.811237135,2.181983749,0.898476133,0.737159313,0,131,22.43220433,78.38309845
