"","MO.GRAN_ga","PA.ARCA_ga","PA.INSU_ga"
"elev",-2.50561667869969,-9.19816023252387,-2.35529221443026
"slp_test",2,2,2
"slope",2.36446304862318,5.96582832989432,2.25811192767314
"upper_limit",2.03672427567109,3.53647670546249,2.04913040042325
"lower_limit",2.74493979135312,10.0640017243137,2.48840653422862
"slp_p_value",0.028297853633942,0.000137060876366113,0.0147844422266312
"xy_r^2",0.616977054153082,0.0891320538153175,0.78180627089109
"xy_corr_p_value",8.88178419700125e-16,0.26135826232455,0
"n",70,16,93
"from",118.195720335215,66.4126773205542,47.2918740340862
"to",309.183013768796,89.477647442297,274.948425239722
