"","MO.GRAN_gh","PA.ARCA_gh","PA.INSU_gh"
"elev",-2.13063126688966,-3.8082800318823,-0.753767184286887
"slp_test",1,1,1
"slope",1.60128214792769,2.62745190330917,0.955365926252023
"upper_limit",1.34129963161115,1.48177564131689,0.844835324806314
"lower_limit",1.91165676694622,4.65893979608659,1.08035735041339
"slp_p_value",6.92093902410207e-07,0.00135471356503691,0.463575485151161
"xy_r^2",0.635486070362451,0.0432339272131792,0.753898948506698
"xy_corr_p_value",0,0.43967134841834,0
"n",70,16,93
"from",123.573460768661,65.19256125095,40.1037397504109
"to",300.435424712907,88.9828626500272,276.226408659582
