"","MO.GRAN_gh","PA.ARCA_gh","PA.INSU_gh"
"elev",-1.52781292991903,-4.50594520807051,-1.08369019548022
"slp_test",1,1,1
"slope",1.33940590327289,2.97869419580044,1.09976582674959
"upper_limit",1.1579391887237,1.74483294904372,0.99201278990484
"lower_limit",1.54931121702483,5.08508228077533,1.21922306445488
"slp_p_value",0.000134488934342869,0.000175675544777487,0.0703108507953343
"xy_r^2",0.635486070362451,0.0432339272131792,0.753898948506698
"xy_corr_p_value",0,0.43967134841834,0
"n",70,16,93
"from",117.884318442215,66.6670165326073,45.6326752520628
"to",311.510549829393,89.3900100958527,268.766872231162
