"","MO.GRAN_gw","PA.ARCA_gw","PA.INSU_gw"
"elev",-1.12692810407871,-5.26570441631024,-1.22288040350973
"slp_test",1,1,1
"slope",1.13590581604276,3.34401207113712,1.18337943372387
"upper_limit",0.955342490192812,1.99902527968247,1.07223381604431
"lower_limit",1.35059628998534,5.59393462682324,1.30604618433593
"slp_p_value",0.147390405360575,2.86207555160178e-05,0.000997235783919859
"xy_r^2",0.483076303102074,0.120693978919252,0.774915854690342
"xy_corr_p_value",2.46700437855907e-11,0.18735747910068,0
"n",70,16,93
"from",119.954862144861,66.7035931217536,49.6933015369776
"to",299.787888433488,93.2142157779975,279.338257270552
