"","pGW","bGW","zGW","hGW","cGW"
"elev",-0.415358406555098,-0.869043401084705,-1.43355400016468,-1.79737362554451,-2.84885319648828
"slp_test",1,1,1,1,1
"slope",0.904700735849022,1.02744668436499,1.24528766206018,1.30804459546134,1.86692143805183
"upper_limit",0.833035555053553,0.944787068494953,1.16679282748317,1.23006362455296,1.37654478503026
"lower_limit",0.982531197474693,1.11733820710973,1.32906315907368,1.39096923895904,2.53198856569051
"slp_p_value",0.0176023084835876,0.525319715386641,1.20819798610228e-10,1.99840144432528e-15,6.31925392522437e-05
"xy_r^2",0.740974205878595,0.771500095813019,0.806357306156555,0.859656244701221,0.244152240121866
"xy_corr_p_value",0,0,0,0,4.47420322533532e-05
"n",184,179,294,179,62
"from",23.5602705924515,44.3384537728845,16.92117778897,46.8671902739318,94.4512107350155
"to",571.274745800917,302.832903128867,236.356857308289,383.355102829741,149.418404056578
