"","acanthuridae_ga","pomacanthidae_ga","scariae_ga"
"elev",-2.58434053592884,-4.12084661930336,-2.58936316010575
"slp_test",2,2,2
"slope",2.09049086005758,2.93951767834842,2.23165476385304
"upper_limit",1.71467451135069,1.88249249122112,2.03227801200046
"lower_limit",2.54867731867188,4.59006568239636,2.45059138347202
"slp_p_value",0.653992422631565,0.0808126403365084,0.0219904905081302
"xy_r^2",0.747881159929186,0.670721217436593,0.821052680896626
"xy_corr_p_value",8.63749072266273e-11,0.0128897327226196,0
"n",33,8,138
"from",91.4437937212414,48.3808424364856,67.5103060426533
"to",238.727551390167,77.6940465734219,399.114652839753
