"","acanthuridae_gh","pomacanthidae_gh","scariae_gh"
"elev",-1.50931089612919,-1.39894637814966,-1.25287724926562
"slp_test",1,1,1
"slope",1.19898996243864,1.15268063131207,1.15864879126649
"upper_limit",0.951236955116005,0.675480337022679,1.05048688670258
"lower_limit",1.51127111104854,1.96700416722475,1.2779474341819
"slp_p_value",0.121182785807843,0.556392244732057,0.00344231005131745
"xy_r^2",0.67043427560092,0.425424589486901,0.791452710375177
"xy_corr_p_value",5.7732809644051e-09,0.0796230915083709,0
"n",33,8,138
"from",90.7654706851372,49.0111983356888,68.3186038458397
"to",216.694878206379,80.8712847912022,400.190460535228
