"","acanthuridae_gh","pomacanthidae_gh","scariae_gh"
"elev",-1.3487397888046,-1.68294190158037,-1.35484217364708
"slp_test",1,1,1
"slope",1.12320739978179,1.31640469935775,1.19957706068221
"upper_limit",0.911575443361783,0.654423409059551,1.11027387034665
"lower_limit",1.38397197084638,2.64801244653134,1.29606321732644
"slp_p_value",0.267391605263206,0.403001401135215,7.06764356150913e-06
"xy_r^2",0.67043427560092,0.425424589486901,0.791452710375177
"xy_corr_p_value",5.7732809644051e-09,0.0796230915083709,0
"n",33,8,138
"from",90.0780745565113,49.4331742931161,70.0984595124988
"to",220.19885452009,78.8311112941169,398.598041023856
