"","acanthuridae_gw","pomacanthidae_gw","scariae_gw"
"elev",-1.34227860390132,-2.73980926983755,-1.22638971759609
"slp_test",1,1,1
"slope",1.07088598507291,1.84890727808283,1.07037941872917
"upper_limit",0.844475960209204,1.09743059405133,0.986522631228856
"lower_limit",1.35799815158916,3.11496521190274,1.16136423409957
"slp_p_value",0.564096966932111,0.0261792664628921,0.101642767796772
"xy_r^2",0.571569363810877,0.701691013324802,0.768029212624748
"xy_corr_p_value",3.62228522732266e-07,0.00943422081197287,0
"n",33,8,138
"from",93.0524457703248,48.5802617601551,66.6182202211247
"to",249.427642937915,76.0715871939304,398.646526633345
