,AC.NIGR_gh,AC.OLIV_gh,CE.FLAV_gh,CH.SORD_gh,SC.FREN_gh,SC.RUBR_gh
elev,-1.501578,-1.748407,-1.682942,-1.288845,-2.161216,-1.931754
slp_test,1,1,1,1,1,1
slope,1.197602,1.293174,1.316405,1.180993,1.525154,1.40609
lower,0.9005155,0.6036283,0.6544234,1.0818185,1.2706181,1.0428337
upper,1.5927,2.770413,2.648012,1.289259,1.830679,1.895882
slp_p_val,2.08E-01,4.61E-01,4.03E-01,3.05E-04,1.63E-05,3.03E-02
xy_r2,0.529464,0.4689145,0.4254246,0.8582441,0.5646431,0.8848047
xy_cor,2.53E-05,8.96E-02,7.96E-02,0.00E+00,5.89E-11,1.58E-04
n,26,7,8,75,54,9
from,90.3365,156.6764,49.43317,67.98186,101.92107,87.76734
to,186.53293,220.6046,78.83111,285.78932,332.16441,412.60394
