,AC.NIGR_gw,AC.OLIV_gw,CE.FLAV_gw,CH.SORD_gw,SC.FREN_gw,SC.RUBR_gw
elev,-1.176125,-2.827129,-2.739809,-1.399754,-1.594051,-1.422447
slp_test,1,1,1,1,1,1
slope,0.9929509,1.7257444,1.8489073,1.16078,1.2035743,1.1490927
lower,0.7045681,0.9897595,1.0974306,1.0621588,0.9906891,0.9821236
upper,1.39937,3.009008,3.114965,1.268558,1.462206,1.344448
slp_p_val,0.967058409,0.053283944,0.026179266,0.001263329,0.061776711,0.074847606
xy_r2,0.3103305,0.7410156,0.701691,0.8547332,0.5044937,0.968883
xy_cor,3.11E-03,1.29E-02,9.43E-03,0.00E+00,1.80E-09,1.57E-06
n,26,7,8,75,54,9
from,92.30412,157.87844,48.58026,67.23665,108.41471,81.11145
to,176.08112,230.55478,76.07159,293.26086,339.33929,395.55623
