"","carangidae_ga","lutjanidae_ga","serranidae_ga"
"elev",-1.82306240295282,-1.50722003853454,-2.43739696003413
"slp_test",2,2,2
"slope",1.98644812756074,2.02966708828038,2.4875709596969
"upper_limit",1.74137213940325,1.90984698259311,2.21803204053409
"lower_limit",2.26601544506265,2.157004475644,2.7898646937658
"slp_p_value",0.910938969705398,0.632058472469684,0.000276822697089063
"xy_r^2",0.964873949636078,0.915466858428601,0.740016517255513
"xy_corr_p_value",1.3356803885145e-08,0,0
"n",12,92,80
"from",176.05028363468,30.5193756419117,69.9885246698219
"to",584.336253419236,513.039002718456,468.028982090517
