"","carangidae_gh","lutjanidae_gh","serranidae_gh"
"elev",-0.7932917020815,-0.376259983889164,-0.670064406893585
"slp_test",1,1,1
"slope",0.954374053278491,0.876764199613929,1.02787937838985
"upper_limit",0.751931542139436,0.811003031819943,0.911281441446773
"lower_limit",1.21132015685853,0.94785769172725,1.15939595438455
"slp_p_value",0.674559534052002,0.00115412555716965,0.651347895202549
"xy_r^2",0.933811057455998,0.929468229414221,0.750392942195576
"xy_corr_p_value",3.21635357014571e-07,0,0
"n",12,92,80
"from",173.397748636898,28.3841947881371,64.2906133449292
"to",588.193689344628,516.693658796325,501.609159528507
