"","carangidae_gh","lutjanidae_gh","serranidae_gh"
"elev",-0.812954541219017,-0.558876482365285,-0.952637147920963
"slp_test",1,1,1
"slope",0.960688755850484,0.952327879763754,1.14785667337407
"upper_limit",0.802197703674307,0.900835133907375,1.02584047673312
"lower_limit",1.15049305350824,1.00676400868328,1.2843858011972
"slp_p_value",0.632601647163344,0.0843038550581046,0.0167233259610524
"xy_r^2",0.933811057455998,0.929468229414221,0.750392942195576
"xy_corr_p_value",3.21635357014571e-07,0,0
"n",12,92,80
"from",174.567676951632,31.2734892383551,69.5794379853511
"to",589.750524736082,503.692959247242,485.980246745424
