"","carangidae_gw","lutjanidae_gw","serranidae_gw"
"elev",-0.939902014202639,-0.496325049925089,-0.827244686902027
"slp_test",1,1,1
"slope",1.03913573478994,0.932933017483197,1.10629622583714
"upper_limit",0.885882925615714,0.852280274809673,0.995813361685268
"lower_limit",1.21890042588522,1.02121806738361,1.2290368721607
"slp_p_value",0.605046305002796,0.130891963120701,0.0596544807378199
"xy_r^2",0.962300424192836,0.8857048260246,0.693374843567105
"xy_corr_p_value",1.90422908552534e-08,0,0
"n",12,92,80
"from",178.370834207241,24.9753221066156,60.9331969540447
"to",577.965394471862,550.074899543123,488.482720396456
