,CA.MELA_ga,AP.FURC_ga,LU.BOHA_ga,LU.KASM_ga,CE.ARGU_ga,CE.UROD_ga,VA.LOUT_ga
elev,-1.8230624,-0.5586799,-0.5859832,-2.4768965,-0.7308589,-6.0502949,-0.7125521
slp_test,2,2,2,2,2,2,2
slope,1.986448,1.647895,1.63197,2.464141,1.783769,4.192207,1.728819
lower,1.741372,1.333887,1.504383,1.786518,1.221445,3.405772,1.346874
upper,2.266015,2.035823,1.770377,3.398785,2.604973,5.160238,2.219076
slp_p_val,9.11E-01,7.16E-02,6.32E-06,1.10E-01,5.45E-01,6.94E-10,2.18E-01
xy_r2,0.9648739,0.6265756,0.9176883,0.9884378,0.2697138,0.5142713,0.9042707
xy_cor,1.34E-08,9.02E-09,0.00E+00,5.80E-03,1.11E-02,1.42E-08,2.39E-05
n,12,36,52,4,23,47,10
from,176.05028,194.38906,114.45352,35.99765,170.54495,82.34991,165.95952
to,584.3363,291.0635,569.6525,147.2512,355.4077,171.3992,556.5985
