,CA.MELA_gw,AP.FURC_gw,LU.BOHA_gw,LU.KASM_gw,CE.ARGU_gw,CE.UROD_gw,VA.LOUT_gw
elev,-0.9494467,-0.1792795,-0.2962633,-1.4582162,-0.4235394,-3.7069406,-0.3712651
slp_test,1,1,1,1,1,1,1
slope,1.0427415,0.8067374,0.842556,1.3508858,0.9450226,2.4367631,0.8993554
lower,0.9097994,0.6538923,0.7593084,0.9232312,0.6497737,1.9452881,0.6974475
upper,1.1951095,0.9953096,0.9349304,1.9766363,1.3744288,3.0524088,1.1597146
slp_p_val,5.11E-01,4.53E-02,1.70E-03,7.79E-02,7.62E-01,1.34E-11,3.68E-01
xy_r2,0.9623004,0.6313844,0.8653827,0.9835771,0.286207,0.4275305,0.9006351
xy_cor,1.90E-08,7.21E-09,0.00E+00,8.25E-03,8.53E-03,6.24E-07,2.78E-05
n,12,36,52,4,23,47,10
from,178.65316,193.50427,114.78337,36.39367,163.62427,84.10725,171.95679
to,577.7302,294.2879,587.749,147.4435,347.4017,170.8164,550.3268
