"","caesionidae_ga","pomacentridae_ga","serranidae_ga"
"elev",-3.27244187070142,-3.90242594947061,-2.09741882672678
"slp_test",2,2,2
"slope",2.53022436942196,3.07764155245429,2.12768517097738
"upper_limit",2.32925357064346,2.58607913586561,1.96133796533879
"lower_limit",2.74853517036712,3.66264024717201,2.30814080326797
"slp_p_value",3.33284306153203e-07,3.79972009012519e-06,0.135452244975874
"xy_r^2",0.895271018113321,0.533324883799591,0.717156016599215
"xy_corr_p_value",0,1.10433884259464e-11,0
"n",63,63,168
"from",60.8409140677669,20.3862757760854,22.1552818373806
"to",255.362638733732,40.0093927880077,77.6917847286067
