"","caesionidae_gh","pomacentridae_gh","serranidae_gh"
"elev",-1.17831644233161,-1.39877048658324,-0.857726373372819
"slp_test",1,1,1
"slope",1.0925351102141,1.2547035469097,1.01427181239953
"upper_limit",0.994585305890318,1.05095671585355,0.936959085379817
"lower_limit",1.200131310991,1.49795035978166,1.09796396180011
"slp_p_value",0.0643703421431887,0.0126597312563979,0.724895337235484
"xy_r^2",0.865004087605888,0.515946029667605,0.731733934081299
"xy_corr_p_value",0,3.42139649944784e-11,0
"n",63,63,168
"from",61.6576138703958,19.8973181885391,22.6798539059126
"to",251.749871899211,40.0554893768759,81.0824256979611
