"","caesionidae_gw","pomacentridae_gw","serranidae_gw"
"elev",-2.04158283936944,-2.57953539143112,-1.24756938626833
"slp_test",1,1,1
"slope",1.46232268756537,1.94337331769258,1.17969946855282
"upper_limit",1.34235000047897,1.61740927960792,1.07446245193216
"lower_limit",1.59301794748418,2.33503040914602,1.29524380642729
"slp_p_value",6.22835116814713e-13,1.24687149494207e-10,0.000591828599463273
"xy_r^2",0.887931253348126,0.479942568735911,0.627111995800893
"xy_corr_p_value",0,3.15706127906878e-10,0
"n",63,63,168
"from",58.8819945595187,21.0432754169948,22.238369045267
"to",256.812012245682,39.716601617133,75.427153322169
