"","group","n","r2","pval","Slope","Slope_lowCI","Slope_highCI","Int","Int_lowCI","Int_highCI","Slope_test","Slope_test_p","Elev_test","Elev_test_p"
"1","CA.MELA",12,0.944571601120342,1.31838489458858e-07,1.855242346408,1.46607607947629,2.34771183575615,-1.49427005737844,-2.65033029947423,-0.338209815282645,2,0.496779104644936,NA,NA
"2","AP.FURC",36,0.52980077755225,4.89324585739581e-07,1.3802896927686,1.1075109876253,1.72025348484201,0.0724932848183082,-0.658423230565822,0.803409800202438,2,0.00141927514911999,NA,NA
"3","LU.BOHA",45,0.846267537343687,0,1.61288345918311,1.47317205149352,1.76584469564783,-0.522483414780234,-0.867460763253964,-0.177506066306504,2,1.82930931369452e-05,NA,NA
"4","CE.ARGU",23,0.052906633455895,0.291044210771961,0.546095820681731,0.35896865949713,0.830770702333242,2.24283106102847,1.69254594148777,2.79311618056917,2,6.00579508347465e-08,NA,NA
"5","CE.UROD",39,0.673934004343565,1.55421009395695e-10,1.75349279672712,1.48623932619668,2.06880341138747,-0.718253715521052,-1.33936914582161,-0.0971382852204945,2,0.116103756103312,NA,NA
"6","VA.LOUT",12,0.9267702469071,5.3484854523056e-07,1.71145901279594,1.41666402572517,2.06759817380207,-0.63747599090323,-1.46733432057684,0.192382338770379,2,0.0967235508678113,NA,NA
"7","PA.ARCA",24,0.592268893805656,1.10133134569868e-05,1.19800895570814,0.921730066940673,1.557099534271,0.0447354039678456,-0.526877706045914,0.616348513981605,2,0.000383297064849186,NA,NA
"8","MO.GRAN",66,0.641838162707884,6.66133814775094e-16,2.59684490699642,2.13436297360889,3.15953919477473,-3.02368051376965,-4.20770462246563,-1.83965640507367,2,0.00952223890610315,NA,NA
"9","PA.INSU",29,0.718091722833184,6.68187150054678e-09,1.70088570601802,1.31262376347893,2.20399193236369,-1.12067314443564,-2.12443359085533,-0.116912698015945,2,0.213492550341111,NA,NA
"10","CA.TERE",23,0.764563252245887,4.93159519887598e-08,1.66316759253472,1.37043943698887,2.01842297163854,-1.28657021828628,-2.03031813061956,-0.542822305953007,2,0.0609610678880366,NA,NA
"11","PT.TILE",34,0.814777566072916,2.95541369155217e-13,2.38436649073041,1.99045830263771,2.85622841462397,-3.01928538892112,-3.90514515736278,-2.13342562047946,2,0.0560732769162942,NA,NA
"12","CH.VAND",63,0.535115241198739,9.80637793190908e-12,2.68929514564056,2.2424718220844,3.22515017095882,-3.33606101641916,-4.08572911985992,-2.5863929129784,2,0.00167403526354248,NA,NA
"13","PS.BART",8,0.364814791707379,0.112791789982018,2.12906525857911,1.53898097085533,2.94540280947674,-2.2249162835045,-3.43836476505767,-1.01146780195132,2,0.659282473369549,NA,NA
"14","PS.DISP",10,0.711553512060078,0.00216107775955465,3.23831574788019,2.25271861215991,4.65512595597288,-3.83635374518501,-5.84550937801714,-1.82719811235287,2,0.0143758219359758,NA,NA
"15","PS.OLIV",85,0.721989128562909,0,1.6905788021,1.50350851255951,1.90092484494447,-1.3126602223634,-1.65744157175483,-0.967878872971971,2,0.00539483126136053,NA,NA
"16","AC.NIGR",25,0.512075933226935,5.78676214155749e-05,1.75636608166087,1.26722315992575,2.43431615706069,-1.83303442268893,-3.06824747942042,-0.597821365957446,2,0.425638895419337,NA,NA
"17","AC.OLIV",7,0.48609758022652,0.0816535606297029,2.25120327628004,1.08390632642631,4.67560347935523,-2.9618219529344,-7.01913037741238,1.09548647154358,2,0.718050632175198,NA,NA
"18","CE.FLAV",34,0.250426613711356,0.00257783874624562,2.1813216601316,1.51021029150377,3.15066332929132,-2.48349244431748,-3.95754419976478,-1.00944068887018,2,0.641046193197406,NA,NA
"19","CH.SORD",71,0.55773260227933,7.57172102794357e-14,2.4214305924059,2.10850187928299,2.78080193878369,-2.9836700529333,-3.76471049140317,-2.20262961446342,2,0.0073044499632624,NA,NA
"20","SC.FREN",50,0.676062897635082,2.46025422256935e-13,2.3320235639838,1.72396344731745,3.15455290623356,-2.9087369369116,-4.64530990759059,-1.17216396623262,2,0.317199679540118,NA,NA
"21","SC.RUBR",10,0.917786442913299,1.29252320710815e-05,3.49262799904495,2.84429119313286,4.28874876424897,-5.91188742844133,-7.68168041466861,-4.14209444221405,2,0.000179561582939192,NA,NA
"22","CH.ORNA",73,0.0538896338725383,0.0481240763336697,4.24853335936998,3.27858704594439,5.50543128876429,-6.85855876568539,-9.21741099084203,-4.49970654052875,2,2.28396705992395e-08,NA,NA
"23","CA.MELA",12,0.960510898166067,2.40302469034503e-08,1.86188858351339,1.40644063100726,2.46482433811287,-1.49882988102174,-2.89129918484914,-0.10636057719433,2,0.586862626177434,NA,NA
"24","AP.FURC",36,0.588284859080079,4.87834217466343e-08,1.74525296766839,1.43154835189695,2.12770174134822,-0.781094009642961,-1.60379187656983,0.0416038572839127,2,0.172776892781759,NA,NA
